input,rle,cost,output
xs0_0,5bo$3bobo$4b2o2$3o$2bo$bo$5b2o$6b2o$5bo!,3,xs8_6996,
xs0_0,5bo$3bobo$4b2o5$6b3o$bo4bo$b2o4bo$obo!,3,xs8_3eb,
xs0_0,13bo$13bobo$13b2o3bo$17bo$17b3o7$13b2o$12b2o$14bo11$6b2o$b2o3bobo$obo3bo$2bo!,5,xs8_25ak8,
xp2_333xcic,6b2o$2bo2bo2bo$obo3b2o$b2o3$4b2o$4b2o$4b2o!,1,xs8_6996,
xp2_7zw64ea,11bobo$11b3o$12bo$11b2o$2bo$obo2b3o$b2o!,1,xs8_3eb,
xs14_g8gy06996z121,2bo$obo8b2o$b2o7bo2bo$10bo2bo$4bo6b2o$3bobo$3bobo$4bo!,1,xs8_69ic,
xs13_2552xcia4,7bo$6bobo$6bobo$7bo$bo$2bo$3o$5b2o$4bo2bo$5bobo$6bo!,1,xs8_25ak8,
xp2_fzy262453,10b2o$10bobo$12bo$11bo$11b2o5$2bo$obo2b4o$b2o!,1,xs8_3pm,
xs0_0,3bo5bo$4b2ob2o$3b2o3b2o4$7b3o$7bo$8bo5$bo$b2o$obo!,4,xs8_69ic,
