input,rle,cost,output
xs0_0,5bo$6bo$4b3o2$b2o$obo$2bo3$4b2o$5b2o$4bo!,3,xs15_2596zx6996,
xs0_0,6bo$bo3bo$2bo2b3o$3o5$13bo$13bobo$13b2o2$5b2o$4bobo$6bo!,4,xs15_cqky1256z121,
xs0_0,2bo$obo$b2o4b2o$7bobo$7bo8$6b2o$7b2o3b2o$6bo4b2o$13bo!,4,xs15_mdqz01zy6256,
xs0_0,obo17bo$b2o5bo11bobo$bo6b2o10b2o$7bobo3bo$12b2o$12bobo!,4,xs15_0gy86996z3452,
xs0_0,11bo$10bo$10b3o3$8bobo$9b2o5b3o$9bo6bo$17bo4$b2o$obo$2bo!,4,xs15_6952zxciic,
xs0_0,19bo$17b2o$18b2o6$9bobo$9b2o$10bo3$6b2o$7b2o$b2o3bo$obo$2bo!,4,xs15_wgy06996z2543,
xs0_0,bo$2bo$3o6$13bo$12b2o$12bobo4$15b2o$15bobo$15bo$5b2o4bo$4bobo3b2o$6bo3bobo!,5,xs15_gy86996z1156,
xs0_0,5bobo$5b2o$bo4bo$2bo$3o4$9bo$7b2o$8b2o14$11bo$10b2o$10bobo$6b2o$6bobo$6bo!,5,xs15_6996zzyg4aic,
xs0_0,15bo$13b2o$14b2o2$10bo$8b2o$9b2o4$5b2o$6b2o$5bo3$9b3o$11bo$10bo2$3o$2bo$bo!,5,xs15_6996zy42596,
xs0_0,21bo$8bobo10bobo$9b2o10b2o$9bo$14bo$12b2o$13b2o$obo$b2o$bo5$7b2o$8b2o$7bo!,5,xs15_2596ybciic,
xs0_0,23bo$21b2o$22b2o3$14b2o8b3o$14bobo7bo$14bo10bo$2o$b2o$o6b2o$6bobo$8bo!,5,xs15_0ggy66996z1243,
xs0_0,9bo$9bobo$9b2o5bo$15bo$15b3o$4bo$2b2o$3b2o2$7b2o$6b2o$b2o5bo$2o$2bo!,5,xs15_2596zzy06996,
xp2_gw2596z7,10b2o$9bo2bo$10bobo$11bo$bo4bo$2bo3bo$3o3bo$6bo!,1,xs15_6952zy36996,
xp2_6952zzycss,8bo4bo$9bo3bo$7b3o3bo$13bo12$bo$obo$o2bo$b2o!,1,xs15_6952zzy8ciic,
xp2_6952zzycss,2bo$obo$b2o4$4o10$17bo$16bobo$15bo2bo$16b2o!,1,xs15_y82596zzo44oz011,
xp2_6952zzycss,17b2o$16bo2bo$17bobo$18bo12$bo4bo$2bo3bo$3o3bo$6bo!,1,xs15_ye2596zzo44oz011,
xp2_6952zzycss,b2o$o2bo$obo$bo4$17bo$15bobo$16b2o4$15b4o!,1,xs15_6952zzyeciic,
xs21_g8o0e96y2cik8z121,6bo$5bobo$4bo2bo$5b2o3$2bo$obo$b2o2$4b2o$3bo2bo$4b3o2$6b3o$6bo2bo$7b2o!,1,xs15_2596y0ciic,
xs21_g8o0e96y2cik8z121,8bo6bo$6bobo5bobo$b2o4b2o5bobo$o2bo7b2ob2o$bobo6bobo$2bo7bobo$11bo!,1,xs15_4a96zzzx6996,
xs21_g8o0e96y2cik8z121,2bo$obo$b2o2$4b2o$3bo2bo$4b3o2$6b3o$6bo2bo$7b2o7$6b2o$5bo2bo$5bobo$6bo!,1,xs15_4a96zzzw6996,
xs21_g8o0e96y2cik8z121,2bo6bo$obo5bobo7bo$b2o5bobo6bobo$5b2ob2o7bo2bo$4bobo11b2o$4bobo$5bo!,1,xs15_g84oy06996z011,
xp2_6952zyb77,bo4bo$2bo3bo$3o3bo$6bo11$bo$obo$o2bo$b2o!,1,xs15_6952zzy0ciic,
xp2_6952zyb77,2bo$obo$b2o4$4o3$16bo$15bobo$14bo2bo$15b2o!,1,xs15_6952zy76996,
xp2_6952zyb77,10b2o$9bo2bo$10bobo$11bo11$bo4bo$2bo3bo$3o3bo$6bo!,1,xs15_6952zyd6996,
xp2_6952zyb77,b2o13bo$o2bo10bobo$obo12b2o$bo3$14b4o!,1,xs15_0gyb6996z3452,
