input,rle,cost,output
xs0_0,10bo$8bobo$9b2o6$3o6b2o4b2o$2bo7b2o2b2o$bo7bo6bo!,4,xs11_31e4a6,
xs0_0,5bo$4bo9bo$4b3o6bo$13b3o$b2o$2o$2bo5$7bo$6b2o$6bobo3$b3o$3bo$2bo!,5,xs11_g8oy1696z01,
xs0_0,11bo$12b2o$11b2o5$obo$b2o$bo$4b3o$6bo$5bo14b3o$20bo$7b2o12bo$6bobo$8bo!,5,xs11_352y2cic,
xs0_0,17bo$10bo4b2o$11b2o3b2o$10b2o8$18bo$18bobo$18b2o17$21bo$bo18b2o$b2o17bobo$obo!,5,xs11_696zyp256,
xs0_0,8bo$9b2o$8b2o5$bo$2bo$3o2$16bobo$16b2o$17bo3$18b2o$18bobo$18bo3$5b2o$4bobo$6bo!,5,xs11_253zxcic,
xp2_333xcic,5bo$3bobo$4b2o4$2b4o5$b2o$o2bo$b2o!,1,xs11_696zy6352,
xp2_333xcic,6bo$bo4bo$2bo3bo5bo$3o3bo4bobo$11bobo$12bo!,1,xs11_256y3696,
xs21_0o4ox6952z17871,12b2o$11bo2bo$6bo4bobo$5bobo4bo$5bobo$4b2ob2o$bo3bobo$2bo2bobo$3o3bo!,1,xs11_0gy16952z121,
xp2_696zzzf,18bo$16bobo$17b2o2$b2o$o2bo$b2o12b4o!,1,xs11_g8oya2552z01,
xp2_696zzzf,6bo$bo4bo$2bo3bo$3o3bo12$5bo$4bobo$4bobo$5bo!,1,xs11_o8gy52552z01,
xp2_696zzzf,3bo$bobo$2b2o4$4o12b2o$15bo2bo$16b2o!,1,xs11_2552zy9253,
xp2_696zzzf,7bo$6bobo$6bobo$7bo12$6bo$bo4bo$2bo3bo$3o3bo!,1,xs11_2552zye352,
xp2_696zzzf,b2o9bo$o2bo6bobo3b2o$b2o8b2o3b2o$16b2o!,1,xs11_253zzzy6cic,
xp2_696zzzf,bo$2bo$3o4$b3o$b3o13$bo$obo$obo$bo!,1,xs11_2552zzya352,
xp2_696zzzf,2bo$obo3b2o$b2o3b2o13b2o$6b2o12bo2bo$21b2o!,1,xs11_y92552zg8oz01,
xp2_696zzzf,3bo$2bobo$2bobo$3bo7$bo$2bo$3o4$b3o$b3o!,1,xs11_253zzzy4cic,
xs17_4alla4zzy54a6,15b2o$15bobo$16bo2$bo$2bo$3o3bo$5bobo$4bobobo$4bobobo$5bobo$6bo!,1,xs11_253zy6ca6,
xs17_4alla4zzy54a6,6bo$7bo$5b3o3bo$10bobo$9bobobo$9bobobo$10bobo$11bo4$bo$obo$b2o!,1,xs11_652zzy5653,
xs17_4alla4zzy54a6,2bo$obo$b2o2$4b2o$3bo2bo$2bob2obo$3bo2bo$4b2o7$12b2o$11bobo$12bo!,1,xs11_356zzy5253,
xs15_2596zx6996,3bo$bobo$2b2o3$b2o$o2bo$o2bo$b2o2$4bo$3bobo$3bo2bo$4b2o!,1,xs11_252zzxcia4,
xs13_4a96zyf2552,9bo$8bobo$8bobo$9bo12$2bo$obo$b2o2$4b2o$3bo2bo$4bobo$5bo!,1,xs11_2552zyd253,
xs13_4a96zyf2552,bo$2bo$3o$5bo$4bobo$4bo2bo$5b2o16$bo$obo$obo$bo!,1,xs11_253yc8kk8,
xp2_69me,2bo$obo$b2o2$4bo$5bo$2bobobo$2bo2bo$3b2o!,1,xs11_x256zo4oz01,
xp2_696zy877,6b2o$5bo2bo$6b2o4$bo$2bo$3o4$b3o$b3o!,1,xs11_696zy9253,
xp2_696zy877,6bo$bo4bo$2bo3bo$3o3bo9$b2o$o2bo$b2o!,1,xs11_352y2696,
xp2_696zy877,3bo$bobo$2b2o4$4o3$13bo$12bobo$12bobo$13bo!,1,xs11_y5696zggz121,
xp2_696zy877,10b2o$9bo2bo$10b2o9$6bo$bo4bo$2bo3bo$3o3bo!,1,xs11_ya652zg8gz121,
xp2_696zy877,bo12bo$obo9bobo$obo10b2o$bo3$11b4o!,1,xs11_253y7696,
xp2_696zy4f,8bo$6bobo$7b2o4$5b4o6$b2o$o2bo$b2o!,1,xs11_2552zzy46a4,
xp2_696zy4f,6bo$bo4bo$2bo3bo$3o3bo2$13bo$12bobo$12bobo$13bo!,1,xs11_2552zzx4a6,
xp2_696zy4f,11b2o$10bo2bo$11b2o4$2bo$obo3b2o$b2o3b2o$6b2o!,1,xs11_256zzzx4aa4,
xs11_31e4a6,2bo$obo$b2o3$3b2o$4bo$b3o$2bo$bobo$2b2o!,1,xs11_31e4a6,
xp2_653zy3u,9bo$7bobo$8b2o4$6b4o5$2o$obo$b2o!,1,xs11_256zzy5653,
xp2_653zy3u,6bo$bo4bo$2bo3bo$3o3bo4$12b2o$11bobo$11b2o!,1,xs11_652zzy0653,
xp2_653zy3u,12b2o$12bobo$13b2o3$2bo$obo3b2o$b2o3b2o$6b2o!,1,xs11_256zyb653,
xs21_w4aaraa4zz6952,6bo$5bobo$5bobo$4b2ob2o$bo3bobo$2bo2bobo7bo$3o3bo7bobo$14bo2bo$15b2o!,1,xs11_252zzx2596,
xs0_0,15bobo$15b2o$16bo7$4bo$4bobo$4b2o$o$b2o$2o!,3,xs11_2552zx8kc,
xs0_0,2bo$obo$b2o$6b2o$6bobo$6bo12$14bo$13b2o$13bobo!,3,xs11_y4253zzo4oz01,
xs0_0,13bo$13bobo$o12b2o$b2o$2o3$2b2o$3b2o$2bo4$10bo$9b2o$9bobo!,4,xs11_255275,
