input,rle,cost,output
xs0_0,8bo4bo$9bo2bo$7b3o2b3o13$10b2o$9b2o$11bo$3o$2bo$bo!,4,xs19_2596zzx4alla4,
xs0_0,9bo$10bo$8b3o7$3bobo$4b2o$4bo4b3o$11bo$3o7bo$2bo$bo!,4,xs19_4aaraa4zzy6652,
xs0_0,6bo$4b2o$5b2o2$3bo$bobo$2b2o4$o$obo$2o3$4bo$3b2o$3bobo!,4,xs19_x4aaraa4zz4ac,
xs0_0,3bo$b2o$2b2o3$4bo$2bobo$3b2o3$2o$b2o$o3$2b2o$b2o$3bo!,4,xs19_cidicx6952zw1,
xs0_0,33bo$33bobo$33b2o$8bo$9b2o$8b2o20$19b3o$14b3o2bo$b2o13bo3bo$obo12bo$2bo!,5,xs19_yd253zzx4aicz8k4ozw1,
xs21_g8o0e96y2cik8z121,2bo$obo$b2o15bo$17bobo$4b2o11bobo$3bo2bo7b2ob2o$4bobo6bobo$5bo7bobo$14bo!,1,xs19_256zz0ggm552z1221,
xs21_g8o0e96y2cik8z121,10bo$11bo$5bo3b3o$4bobo7bo$4bobo6bobo$b2ob2o7bo2bo$obo11b2o$obo$bo!,1,xs19_0253z8kkozx6aa4,
xp2_4a96zy2cia4zycss,12bo$13bo$11b3o4$12b3o$12b3o7$7bo$6bobo$6bo2bo$7b2o3$b2o$o2bo$bobo$2bo!,1,xs19_4a96zy2cia4zzzya6a4,
xp2_4a96zy2cia4zycss,13bo$12bobo$12bo2bo$13b2o3$7b2o$6bo2bo$7bobo$8bo$bo$2bo$3o4$b3o$b3o!,1,xs19_4a96zy2cia4zzx8ko,
xp2_4a96zy2cia4zycss,13bo$8bo4bo$9bo3bo$7b3o3bo6$7bo$6bobo$6bo2bo$7b2o3$b2o$o2bo$bobo$2bo!,1,xs19_y2cik8x253z8k4ozw1,
xp2_4a96zy2cia4zycss,3bo$bobo$2b2o4$4o4$11bo$10bobo$9bo2bo$10b2o3$16b2o$15bo2bo$15bobo$16bo!,1,xs19_4a96zy2cia4zzy94a6,
xp2_4a96zy2cia4zycss,17bo$16bobo$16bo2bo$17b2o3$11b2o$10bo2bo$11bobo$12bo6$6bo$bo4bo$2bo3bo$3o3bo!,1,xs19_4a96zy2cia4zzye6a4,
xp2_4a96zy2cia4zycss,2bo$bobo$o2bo$b2o3$7b2o$6bo2bo8bo$6bobo7bobo$7bo9b2o4$15b4o!,1,xs19_y2cik8y4352z8k4ozw1,
xp2_07zezzx256,2bo$obo$b2o3$2o$obo$bo7$5bo$5bo$5bo4$4bo$4bo$4bo!,1,xs19_0253zg8o0e96z121,
xs17_4alla4zzy54a6,13b2o$13bobo$bo12bo$2bo$3o2$4bo$3bobo$2bobobo$2bobobo$3bobo$4bo!,1,xs19_253zy4o4ozy5110796,
xs17_4alla4zzy54a6,8bo$9bo$7b3o2$11bo$10bobo$9bobobo$9bobobo$10bobo$11bo4$bo$obo$b2o!,1,xs19_255mggzx1221zy48kc,
xs17_4alla4zzy54a6,2bo$obo$b2o3b2o$5bo2bo$4bob2obo$5bo2bo$6b2o7$14b2o$13bobo$14bo!,1,xs19_0ggm552z1221zy48kc,
xp2_4a96zy2cia4zoz1,5bo$3bobo3bo$4b2o3bo$9bo4$2bo$bobo$o2bo$b2o3$7b2o$6bo2bo$6bobo$7bo!,1,xs19_4a96y48kczy2cia4,
xp2_4a96zy2cia4zoz1,bo$2bo$3o4$b3o10bo$13bobo$13bo2bo$14b2o3$8b2o$7bo2bo$8bobo$9bo!,1,xs19_253zy669a4zy04aic,
xp2_4a96zy2cia4zoz1,8bo$7bobo$6bo2bo$7b2o3$13b2o$12bo2bo$12bobo$13bo3$2bo$obo3bo$b2o3bo$6bo!,1,xs19_y269a4z4aiczya6a4,
xp2_4a96zy2cia4zoz1,8bo$9bo$7b3o4$8b3o5$2bo$bobo$o2bo$b2o3$7b2o$6bo2bo$6bobo$7bo!,1,xs19_w4a96zy4cia4zz4a6,
xp2_4a96zy2cia4zoz1,2bo$obo3bo$b2o3bo11bo$6bo10bobo$17bo2bo$18b2o3$12b2o$11bo2bo$12bobo$13bo!,1,xs19_253y869a4zy54aic,
xp2_4a96zy2cia4zoz1,4bo$3bobo$2bo2bo$3b2o3$9b2o$8bo2bo$bo6bobo$2bo6bo$3o4$b3o!,1,xs19_352y269a4zx4aic,
xp2_4aaraa4zy977,6bo$5bobo$5bobo$4b2ob2o$5bobo$5bobo$6bo$bo$2bo$3o4$b3o$b3o!,1,xs19_4aaraa4zya4a6,
xp2_4aaraa4zy977,6bo$bo4bo$2bo3bo$3o3bo6$2bo$bobo$bobo$2ob2o$bobo$bobo$2bo!,1,xs19_4aaraa4x4a6,
xp2_4aaraa4zy977,3bo$bobo$2b2o4$4o2$12bo$10b5o$9bo5bo$10b5o$12bo!,1,xs19_8u1u8z0121zy5652,
xp2_4aaraa4zy977,10bo$9bobo$9bobo$8b2ob2o$9bobo$9bobo$10bo6$6bo$bo4bo$2bo3bo$3o3bo!,1,xs19_8u1u8z0121zzy5352,
xp2_4aaraa4zy977,3bo11bo$b5o7bobo$o5bo7b2o$b5o$3bo2$12b4o!,1,xs19_4a6y44aaraa4,
xp2_4alla4zzy7e,10bo$8bobo$9b2o3$11b3o6$2bo$bobo$obobo$obobo$bobo$2bo!,1,xs19_4alla4zzy569a4,
xp2_4alla4zzy7e,bo$2bo$3o$5bo$5bo$5bo7$13b2o$12bo2bo$11bob2obo$12bo2bo$13b2o!,1,xs19_4a96zzy34alla4,
xp2_4alla4zzy7e,14bo$13bobo$12bobobo$12bobobo$13bobo$14bo$2bo$obo$b2o3$3b3o!,1,xs19_4alla4zzy64aic,
xp2_4alla4zzy7e,8bo$9bo$7b3o$12bo$12bo$12bo5$2bo$bobo$obobo$obobo$bobo$2bo!,1,xs19_2596zzy44alla4,
xp2_4alla4zzy7e,2bo$obo$b2o3$3b3o8$12b2o$11bo2bo$10bob2obo$11bo2bo$12b2o!,1,xs19_4alla4zzy66952,
xp2_4alla4zzy7e,15bo$14bobo$13bobobo$13bobobo$14bobo$15bo2$bo$2bo$3o$5bo$5bo$5bo!,1,xs19_4alla4zzy52596,
xp2_4a96zy2cia4y01111,6bo$bo4bo$2bo3bo$3o3bo5$8bo$7bobo$7bo2bo$8b2o3$2b2o$bo2bo$2bobo$3bo!,1,xs19_253zy269a4z4aic,
xp2_4a96zy2cia4y01111,3bo$bobo$2b2o6bo$9bobo$8bo2bo$9b2o$4o2$15b2o$14bo2bo$14bobo$15bo!,1,xs19_253z04a96zy3cia4,
xp2_4a96zy2cia4y01111,9bo$8bobo$8bo2bo$9b2o3$3b2o$2bo2bo$3bobo$4bo5$6bo$bo4bo$2bo3bo$3o3bo!,1,xs19_256zz04a96zy3cia4,
xp2_4a96zy2cia4y01111,17bo$2bo12bobo$bobo12b2o$o2bo$b2o2$14b4o$7b2o$6bo2bo$6bobo$7bo!,1,xs19_256y969a4zy64aic,
xp2_g07z7y48888zx8kic,14bo$15bo$4b4o5b3o2$3o$13bo$12bobo$11bo2bo$12b2o3$8bo$8bo$8bo$8bo!,1,xs19_4a96zy2cia4zx256,
xs21_y8178czy2cik8z8k4ozw1,7b2o$8bo$bo3b3o$2bo2bo$3o2$13bo$12bobo$11bo2bo$12b2o3$18b2o$17bo2bo$17bobo$18bo!,1,xs19_4a96zy2cia4zy98kc,
xs21_y8178czy2cik8z8k4ozw1,13bo$12bobo$5bo6bo2bo$3bobo7b2o$4b2o2$7b2o$6bo2bo$7bobo$8bo3$2o$obo$2bo$2b2o!,1,xs19_y8354czy04acz8k4ozw1,
xs21_y8178czy2cik8z8k4ozw1,9bo$10bo$8b3o$13bo$12bobo$12bo2bo$13b2o3$7b2o$6bo2bo$7bobo$8bo3$2o$obo$2bo$2b2o!,1,xs19_c453zy28kiczy9652,
xs21_y8178czy2cik8z8k4ozw1,15b2o$16bo$16bobo$17b2o3$10bo$9bobo$2bo6bo2bo$obo7b2o$b2o2$4b2o$3bo2bo$4bobo$5bo!,1,xs19_c871zy28kiczy9652,
xs21_y8178czy2cik8z8k4ozw1,12b2o$13bo$13bobo$3bo10b2o$4bo$2b3o$7bo$6bobo$6bo2bo$7b2o3$b2o$o2bo$bobo$2bo!,1,xs19_y8178czy04acz8k4ozw1,
