input,rle,cost,output
xp2_qdmz01y77zyae,12bo$10bobo$11b2o3$9b2obo$8bob2obo$9bob2o11$6b3o$3o!,1,xs18_2520g8o0e96zy0121,
xp2_6413zzyfsy1e,5bo$3bobo$4b2o3$6b3o$3o10$25b2o$23bo2bo$23b2o!,1,xs18_6413zzyecia4w8kc,
xp2_6413zzyfsy1e,2b2o$o2bo$2o5$23bo$21bobo$22b2o3$24b3o$18b3o!,1,xs18_6413zzyeca4w8kic,
xs20_8kk8y169a4zx4aic,10bo$9bobo$2bo6bo2bo$obo7b2o$b2o$13b2o$4b2o6bo2bo$3bo2bo6b2o$4bobo$5bo!,1,xs18_0652z0gwcia4z343,
xs20_8kk8y169a4zx4aic,6bo$7bo$5b3o$10bo$9bobo$b2o6bo2bo$o2bo6b2o$b2o2$4b2o$3bo2bo$4bobo$5bo!,1,xs18_652x8kk8zxcia4,
