input,rle,cost,output
xs0_0,10bobo$10b2o$11bo3$2bo$obo$b2o11bo$14bobo$14b2o3$11b3o$13bo$12bo!,4,xs21_0o4ox6952z17871,
xs0_0,4bo$5bo$3b3o3$2o$b2o$o9bo$10bobo$10b2o6$3o$2bo$bo!,4,xs21_w4aaraa4zz6952,
xs0_0,5bo$4bo$4b3o2$3o9b3o$2bo9bo$bo11bo$8bo$8b2o$7bobo!,4,xs21_g8o0e96y2cik8z121,
xs0_0,o$b2o8bo$2o10bo$10b3o3bo$16bobo$16b2o3$8b3o$10bo$9bo10$15b3o$15bo$16bo!,5,xs21_y8178czy2cik8z8k4ozw1,
xs21_g8o0e96y2cik8z121,bo7bo$2bo5bobo7bo$3o5bobo6bobo$5b2ob2o7bo2bo$4bobo11b2o$4bobo$5bo!,1,xs21_w4a96zy4cia4zz0ggz3421,
xp2_4a96zy2cia4zoz1,5bo$6bo$4b3o$9bo$9bo$9bo4$2bo$bobo$o2bo$b2o3$7b2o$6bo2bo$6bobo$7bo!,1,xs21_w4a96zy4cia4zg88gz121,
xp2_4a96zy2cia4zoz1,2bo$obo$b2o3$3b3o10bo$15bobo$15bo2bo$16b2o3$10b2o$9bo2bo$10bobo$11bo!,1,xs21_y34a96z8k4oy5cia4zw1,
xp2_4a96zy2cia4zoz1,7bo$6bobo$5bo2bo$6b2o3$12b2o$11bo2bo$11bobo$12bo$bo$2bo$3o$5bo$5bo$5bo!,1,xs21_2596zy3cik8z08k4ozx1,
xp2_4a96zy2cia4zoz1,7bo$5bobo$6b2o3$8b3o5$2bo$bobo$o2bo$b2o3$7b2o$6bo2bo$6bobo$7bo!,1,xs21_04a96zy3cia4zo4k8z01,
xp2_4a96zy2cia4zoz1,bo$2bo$3o$5bo$5bo11bo$5bo10bobo$16bo2bo$17b2o3$11b2o$10bo2bo$11bobo$12bo!,1,xs21_w4a96zy4cia4z8k4ozw1,
xp2_4a96zy2cia4zoz1,6bo$5bobo$4bo2bo$5b2o3$11b2o$10bo2bo$10bobo$2bo8bo$obo$b2o3$3b3o!,1,xs21_y34a96zg88gy5cia4z121,
xp2_ya4a96zzgw77z3,bo$obo$o2bo$b2o2$14bo$12bobo$13b2o4$12b4o4$16b3o!,1,xs21_y84a96zyecia4zzzwgz2543,
xp2_69me,2bo$obo$b2o2$4b3o$4b2obo$3bo2bo$4b2o!,1,xs21_4a96y669a4zy2cia4,
xp2_4a96zy2cia4y01111,11bo$12bo$10b3o3$10bo$9bobo$8bo2bo$9b2o$4o2$15b2o$14bo2bo$14bobo$15bo!,1,xs21_4a96y569a4zy2cia4,
xp2_4a96zy2cia4y01111,10bo$9bobo$9bo2bo$10b2o2$4b2o$2b2ob2o$o2b2obo$5obo$bo3bo6$6b3o$6b3o!,1,xs21_y3ciqb96zz8k4ozw1,
xs21_y8178czy2cik8z8k4ozw1,2bo$obo$b2o3$3b2o$4bo$b3o$bo3$9bo$8bobo$7bo2bo$8b2o3$14b2o$13bo2bo$13bobo$14bo!,1,xs21_y8178czy2cik8z8k4ozw1,
xs21_y8178czy2cik8z8k4ozw1,9bo$7bobo2b2o$8b2o3bo$13bobo$14b2o3$7bo$6bobo$6bo2bo$7b2o3$b2o$o2bo$bobo$2bo!,1,xs21_4a96zy2cia4zy92596,
xs20_8kk8y169a4zx4aic,7bo$2bo3bobo$obo2bo2bo$b2o3b2o3$12b2o$11bo2bo$11bobo$8bo3bo$7bobo$7bobo$8bo!,1,xs21_8kk8y36996zx4aic,
xs20_8kk8y169a4zx4aic,2bo$3bo$b3o3$2bo$bobo$o2bo$b2o3$7b2o$6bo2bo$6bobo$3bo3bo$2bobo$2bobo$3bo!,1,xs21_6996zy1gwcia4zy0343,
xs20_8kk8y169a4zx4aic,11bo$10bobo$10bobo$2bo4bo3bo$obo3bobo$b2o2bo2bo$6b2o3$12b2o$11bo2bo$11bobo$12bo!,1,xs21_4a96zy2cia4zzx6952,
xs0_0,4bo$5b2o$4b2o3$17bo$16bo$16b3o$12b2o$11bobo$13bo3$b2o$obo$2bo!,4,xs21_8kkmkk8w4a96zx1,
xs0_0,13bo$12bo$12b3o4$6b3o$8bo$7bo5$b2o$obo$2bo2$5b2o$4b2o$6bo!,4,xs21_2596zy5o4ozy6110796,
