input,rle,cost,output
xs0_0,6bo$5bo$3o2b3o$2bo$bo!,2,xs10_253652,
xs0_0,22bo$22bobo$22b2o2$obo22bobo$b2o22b2o$bo24bo3$25bo$24b2o$24bobo!,4,xs10_253zzy58ko,
xs0_0,21bobo$21b2o$22bo3$23bo$22b2o$22bobo8$9b2o$b2o6bobo$obo6bo$2bo!,4,xs10_352zyf8kc,
xs0_0,21bo$21bobo$21b2o4$3b3o$5bo$4bo$7b3o$3o4bo$2bo5bo$bo$18b2o$18bobo$18bo!,5,xs10_253y64ac,
xs0_0,9bo$10bo$8b3o5$14bo$13bo$bo11b3o$2bo7bo$3o5bobo$9b2o11$9b3o$11bo$10bo!,5,xs10_253zzy7ok8,
xp2_352zs,7bo$8bo$6b3o2$bo$obo$2o5b3o!,1,xs10_256y18ko,
xp2_352zs,2bo$obo3bo$b2o3bo$6bo5$5bo$4bobo$5b2o!,1,xs10_352x8kc,
xp2_352zs,bo$2bo$3o4$b3o5b2o$8bobo$9bo!,1,xs10_253zy0ca4,
xp2_352zs,6b2o$6bobo$7bo4$2bo$obo3bo$b2o3bo$6bo!,1,xs10_ggy2652z121,
xp2_352zs,bo$2bo$3o4$b3o6$bo$obo$b2o!,1,xs10_256y38kc,
xp2_352zs,2bo$obo3bo$b2o3bo6b2o$6bo5bobo$13bo!,1,xs10_253y3253,
xp2_11108kc,8b2o$8bobo$9bo$2bo$obo3bo$b2o3bo$6bo!,1,xs10_253zy2352,
xp2_11108kc,bo$2bo$3o4$b3o2$6b2o$5bobo$6bo!,1,xs10_652zx4a6,
xp2_11108kc,3bo$4bo$2b3o4$3b3o3$bo$obo$b2o!,1,xs10_253zy0ck8,
xp2_11108kc,2bo$obo3bo$b2o3bo$6bo$10b2o$9bobo$10bo!,1,xs10_253y08kc,
xp2_fzy0652,7bo$5bobo$6b2o4$4b4o4$2o$obo$bo!,1,xs10_253zy5ck8,
xp2_fzy0652,6bo$bo4bo$2bo3bo$3o3bo2$11bo$10bobo$10b2o!,1,xs10_253y2ok8,
xp2_253zzy7e,11bo$12bo$10b3o4$11b3o9$2o$obo$bo!,1,xs10_253zzy9ck8,
