input,rle,cost,output
xs0_0,4b3o$4bo$5bo$2o$b2o$o3$2b2o$3b2o$2bo!,3,xs20_g8861688gz01168611,
xs0_0,bo$b2o$obo3$3b3o$5bo$4bo2$6b2o$5b2o$7bo!,3,xs20_6996zxcia4zy58kc,
xs0_0,22bobo$22b2o$4bo12bobo3bo$5bo11b2o$3b3o12bo3$b2o$obo$2bo10$4b3o$6bo$5bo!,5,xs20_8kk8y169a4zx4aic,
xp2_cidiczw1y2f,7bo$5bobo$6b2o4$5b4o5$2b2o$bo2bo$ob2obo$bo2bo$2b2o!,1,xs20_y46996zo4q4oz0121,
xp2_cidiczw1y2f,bo4bo$2bo3bo$3o3bo$6bo6bo$12bobo$11bobobo$11bobobo$12bobo$13bo!,1,xs20_cidicx6996zw1,
xp2_cidiczw1y2f,8bo$9bo$7b3o$3o$3o$8bo$7bobo$6bobobo$6bobobo$7bobo$8bo!,1,xs20_g8861688gz01168611,
xp2_7z0ezx6996,10bo$8bobo$9b2o3$11b3o$5b3o2$b2o$o2bo$o2bo$b2o!,1,xs20_2596z4aczy06996,
xp2_cidiczw1y7f,7bo$5bobo$6b2o4$5b4o10$2b2o$bo2bo$ob2obo$bo2bo$2b2o!,1,xs20_y96996zo4q4oz0121,
xp2_cidiczw1y7f,bo4bo$2bo3bo$3o3bo$6bo11bo$17bobo$16bobobo$16bobobo$17bobo$18bo!,1,xs20_cidicy46996zw1,
xp2_cidiczw1y7f,5b2o$4bo2bo$3bob2obo$4bo2bo$5b2o4$2bo$obo$b2o4$4o!,1,xs20_cidicy36996zw1,
xp2_cidicy6fzw1,2bo$obo$b2o4$4o11$2b2o$bo2bo$ob2obo$bo2bo$2b2o!,1,xs20_o4q4oy56996z0121,
xp2_cidicy6fzw1,19bo$18bobo$bo4bo10bobobo$2bo3bo10bobobo$3o3bo11bobo$6bo12bo!,1,xs20_cidiczw1y76996,
xp2_cidicy6fzw1,2bo7bo4bo$bobo7bo3bo$obobo4b3o3bo$obobo10bo$bobo$2bo!,1,xs20_o4q4oy46996z0121,
xs0_0,18bo$8bo7b2o$8bobo6b2o$8b2o3$7b2o$7bobo$7bo5$20b2o$20bobo$20bo2$b2o$obo$2bo!,5,xs20_4a96zy2cia4y14aa4,
xs0_0,12bobo$12b2o$13bo9bo$21b2o$22b2o3$20b2o$19b2o$21bo$bo$b2o$obo4$13b2o$14b2o$13bo!,5,xs20_0gg0sicya696z343,
