input,rle,cost,output
xs0_0,6bobo$7b2o14bobo$7bo15b2o$24bo9$2bo$obo$b2o3$b2o$obo$2bo!,4,xs17_4alla4zzy54a6,
xs0_0,bo$2b2o6bo$b2o5b2o$9b2o3$o$obo$2o3$2o$obo$o!,4,xs17_0cidicz8ko1,
xs0_0,10bo$11bo$9b3o4$12b3o$12bo$2o11bo$b2o16bobo$o18b2o$20bo$11bo$12bo$10b3o!,5,xs17_252y0g8gzy3121zyfcik8,
xp2_07zezzx256,b2o$bobo$2bo7$6bo$6bo$6bo$bo$2bo$3o$5bo$5bo$5bo!,1,xs17_x2596zx4aczz652,
xp2_07zezzx256,6bo$6bo$6bo$bo$2bo$3o$5bo$5bo$5bo7$9bo$8bobo$9b2o!,1,xs17_253z4a96zzy0256,
xp2_cidiczw1y2f,8bo$6bobo$7b2o4$5b4o5$2b2o$bo2bo$ob2obo$bo2bo$2b2o!,1,xs17_256zzy14alla4,
xp2_cidiczw1y2f,6bo$bo4bo$2bo3bo$3o3bo6bo$12bobo$11bobobo$11bobobo$12bobo$13bo!,1,xs17_4alla4zzck8,
xp2_cidiczw1y7f,8bo$6bobo$7b2o4$5b4o10$2b2o$bo2bo$ob2obo$bo2bo$2b2o!,1,xs17_256zzzy14alla4,
xp2_cidiczw1y7f,6bo$bo4bo$2bo3bo$3o3bo11bo$17bobo$16bobobo$16bobobo$17bobo$18bo!,1,xs17_4alla4zzzck8,
xp2_cidiczw1y7f,5b2o$4bo2bo$3bob2obo$4bo2bo$5b2o4$3bo$bobo$2b2o4$4o!,1,xs17_4alla4z0gz321,
xp2_cidiczw1y7f,2bo$obo3b2o$b2o3b2o$6b2o9$2b2o$bo2bo$ob2obo$bo2bo$2b2o!,1,xs17_3520gzw69m96,
xp2_cidiczw1y7f,10b2o$9bo2bo$8bob2obo$9bo2bo$10b2o8$2bo$obo3b2o$b2o3b2o$6b2o!,1,xs17_04alla4zzzz8kc,
xp2_4alla4zzy7e,11bo$12bo$10b3o4$11b3o6$2bo$bobo$obobo$obobo$bobo$2bo!,1,xs17_256zzy64alla4,
xp2_4alla4zzy7e,2bo$obo3bo$b2o3bo$6bo7$14b2o$13bo2bo$12bob2obo$13bo2bo$14b2o!,1,xs17_4alla4zzy9652,
xp2_4alla4zzy7e,12bo$11bobo$10bobobo$10bobobo$11bobo$bo10bo$2bo$3o4$b3o!,1,xs17_4alla4zzy3256,
xp2_4alla4zzy7e,8bo$6bobo3bo$7b2o3bo$12bo5$2bo$bobo$obobo$obobo$bobo$2bo!,1,xs17_y24alla4zg8gz11,
xp2_4alla4zzy7e,bo$2bo$3o4$b3o8$10b2o$9bo2bo$8bob2obo$9bo2bo$10b2o!,1,xs17_y24alla4zzggz121,
xp2_4alla4zzy7e,16bo$15bobo$14bobobo$14bobobo$15bobo$16bo4$2bo$obo3bo$b2o3bo$6bo!,1,xs17_cidiczw1zya6a4,
xp2_cidicy6fzw1,3bo$bobo$2b2o4$4o11$2b2o$bo2bo$ob2obo$bo2bo$2b2o!,1,xs17_cidicy9652zw1,
xp2_cidicy6fzw1,19bo$18bobo$6bo10bobobo$bo4bo10bobobo$2bo3bo11bobo$3o3bo12bo!,1,xs17_cidiczw1yb352,
xp2_cidicy6fzw1,2bo12bo$bobo6bo4bo$obobo6bo3bo$obobo4b3o3bo$bobo$2bo!,1,xs17_4alla4zz256,
xp2_cidicy6fzw1,5b2o$4bo2bo$3bob2obo$4bo2bo$5b2o9$2bo$obo3b2o$b2o3b2o$6b2o!,1,xs17_o4q4oye352z0121,
xp2_cidicy6fzw1,14bo$15bo$13b3o3$2bo$bobo10b3o$obobo9b3o$obobo$bobo$2bo!,1,xs17_cidicye6a4zw1,
xp2_352y2ey17,5bo$3bobo$4b2o3$6b3o6bo$3o11bobo$15b2o!,1,xs17_352y16952w4a6,
xp2_352y2ey17,13bo$11bobo$12b2o2$2o$obo11b3o$bo6b3o!,1,xs17_352y1652w4a96,
xs0_0,bo$b2o5bo$obo4b2o$7bobo5$3b2o4b2o$4b2o2b2o$3bo6bo!,4,xs17_4alla4zggz121,
xs0_0,2bo$3b2o$2b2o2$7b2o$6b2o$8bo6$bo$b2o$obo2$12b2o$12bobo$12bo!,4,xs17_0gy52552z343yb8ko,
xs0_0,bo24bo$2bo22bo$3o22b3o12$17bobo$17b2o4b2o$18bo3b2o$24bo2$14b3o$16bo$15bo!,5,xs17_8kaak8x352zw11,
