input,rle,cost,output
xs0_0,3o2b3o$2bo2bo$bo4bo!,2,xs12_4alla4,
xs0_0,7bo6bo$6bo5b2o$bo4b3o4b2o$b2o$obo!,3,xs12_256zzwok46,
xs0_0,8bo$8bobo$8b2o2$11b3o$obo8bo$b2o9bo$bo!,3,xs12_2552752,
xs0_0,5bobo$5b2o$6bo6$2o$b2o2b3o$o4bo$6bo!,3,xs12_253zx6952,
xs0_0,obo$b2o6bo$bo8bo$8b3o5$6bo$7b2o$6b2o3$10bo$9b2o$9bobo!,4,xs12_x6952z652,
xs0_0,obo$b2o$bo3$2bo$2b2o$bobo3$25bo$23b2o$24b2o5$21b2o$21bobo$21bo!,4,xs12_352zzzyb8kic,
xs0_0,5bo$3bobo$4b2o4$6bobo$6b2o$7bo3$5b2o$4bobo$6bo8$3o$2bo$bo!,4,xs12_352zy36952,
xs0_0,23bo$21b2o$22b2o$11bo$2bo7b2o$obo7bobo$b2o3b2o$5bobo$7bo!,4,xs12_4a96zzx352,
xs0_0,10bo$8b2o$9b2o$13bobo$obo10b2o$b2o11bo$bo2$12b2o$11bobo$13bo!,4,xs12_2552zy38kk8,
xs0_0,15bo$13b2o$14b2o3$11bobo$12b2o$12bo$2bo$obo$b2o5$4b3o$6bo$5bo!,4,xs12_696zy1696,
xs0_0,9bo$7b2o$8b2o6$17bo$3o13b2o$2bo2bo10bobo$bo4b2o$5b2o$9b3o$11bo$10bo!,5,xs12_x2596z256,
xs0_0,obo7bo$b2o5bobo$bo7b2o5$15bobo$15b2o$16bo3$11b3o$13bo$12bo7$11b3o$13bo$12bo!,5,xs12_0g2596z123,
xs0_0,9bo$7b2o5bo$8b2o2b2o$13b2o2$11bo$3b3o3bobo$3bo6b2o$4bo$2o$obo$o!,5,xs12_253y74a96,
xs0_0,4bo$2bobo$3b2o3$2o$b2o7b2o$o9bobo$10bo3$13b2o$13bobo$13bo2$2b2o$3b2o$2bo!,5,xs12_g8gy04a96z11,
xp2_352zs,6bo$4bobo$5b2o$bo$obo$2o5b3o!,1,xs12_652x8kic,
xp2_352zs,bo$2bo$3o$5bo$5bo$5bo5$4bo$3bobo$4b2o!,1,xs12_2596y08kc,
xp2_352zs,2bo$obo$b2o3$3b3o5b2o$10bobo$11bo!,1,xs12_2596y0256,
xp2_352zs,5b2o$5bobo$6bo2$bo$2bo$3o$5bo$5bo$5bo!,1,xs12_253zcik8,
xp2_352zs,2bo$obo$b2o3$3b3o6$3bo$2bobo$3b2o!,1,xs12_253z4aic,
xp2_352zs,bo$2bo$3o$5bo$5bo6b2o$5bo5bobo$12bo!,1,xs12_4a96x8kc,
xp2_352zs,4b2o$4bobo$5bo$2bo$obo$b2o3$3b3o!,1,xs12_652y04aic,
xp2_11108kc,2bo$obo$b2o3$3b3o2$8b2o$7bobo$8bo!,1,xs12_4a96zx652,
xp2_11108kc,bo$2bo$3o$5bo$5bo$5bo$9b2o$8bobo$9bo!,1,xs12_0g069a4z123,
xp2_gw2596z7,3bo$bobo$2b2o4$4o3$6bo$5bobo$4bo2bo$5b2o!,1,xs12_253y18kic,
xp2_gw2596z7,10b2o$9bo2bo$10bobo$11bo$6bo$bo4bo$2bo3bo$3o3bo!,1,xs12_256zy48kic,
xp2_253zzy7e,10bo$8bobo$9b2o3$11b3o9$2o$obo$bo!,1,xs12_253zzy569a4,
xp2_253zzy7e,bo$2bo$3o$5bo$5bo$5bo9$15bo$14bobo$14b2o!,1,xs12_253zzy5cia4,
xp2_253zzy7e,15bo$14bobo$15b2o4$2bo$obo$b2o3$3b3o!,1,xs12_253zzy64aic,
xp2_253zzy7e,8bo$9bo$7b3o$12bo$12bo$12bo8$2o$obo$bo!,1,xs12_253zzy6cik8,
xp2_253zzy7e,2bo$obo$b2o3$3b3o10$14bo$13bobo$13b2o!,1,xs12_253zzy66952,
