input,rle,cost,output
xs0_0,2o$b2o$o$4b2o$4bobo$4bo!,2,xs14_4aaraa4,
xs0_0,5bo$4bo$4b3o2$3o$2bo$bo!,2,xs14_g8o0e96z121,
xs0_0,4bo$3bo$3b3o9$3b2o$3bobo$3bo2$bo$b2o$obo!,3,xs14_4a96zy2cia4,
xs0_0,5bobo$5b2o$6bo$2bo$obo$b2o3$9b2o$9bobo$9bo!,3,xs14_0gy56996z343,
xs0_0,2bo$obo$b2o9$10bo$5bo4bobo$5b2o3b2o$4bobo!,3,xs14_2596zy1gs26,
xs0_0,3bobo$4b2o$4bo3$5bo$5bobo$5b2o$3o$2bo$bo!,3,xs14_6952y02596,
xs0_0,7bo$7bobo$7b2o$2bobo$3b2o$3bo15$12b2o$12bobo$12bo$2o$b2o$o!,4,xs14_g8gy52596z1221,
xs0_0,4bo4bo$2bobo4b2o$3b2o3bobo$17b2o$17bobo$2o15bo$b2o$o!,4,xs14_0ggy14a96z1243,
xs0_0,9bo$9bobo$9b2o2$2bo$2o$b2o5bo$7b2o$7bobo$3bo$2b2o$2bobo!,4,xs14_696zy06996,
xs0_0,12bo$11bo$11b3o8$8bo$6bobo$2o5b2o$b2o9b2o$o11bobo$12bo!,4,xs14_0gy369a4z3452,
xs0_0,5bo$6bo$4b3o2$bo$2bo$3o3$12bobo$12b2o$7bobo3bo$8b2o$8bo!,4,xs14_2552y0ciic,
xs0_0,obo$b2o$bo9bo$11bobo$11b2o$b2o$2b2o$bo2$11b2o$10b2o$12bo!,4,xs14_06996zcic,
xs0_0,7bo$5b2o6bo$6b2o5bobo$13b2o3$6b2o$6bobo$b2o3bo$obo$2bo2$4b3o$4bo$5bo!,5,xs14_g8gy06996z121,
xs0_0,5bo$6bo$4b3o6bo$12bo$12b3o6$o$b2o$2o2$4b3o$4bo$5bo5b2o$10b2o$12bo!,5,xs14_0gx6996z343,
xp2_oy3fz1,6bo$4bobo$5b2o2$8b3o$8b3o2$3o!,1,xs14_g8o0e96z121,
xp2_333xcic,4bo$2bobo$3b2o4$2b4o5$b2o$o2bo$b2o!,1,xs14_696zy26996,
xp2_333xcic,bo4bo$2bo3bo$3o3bo5bo$6bo4bobo$11bobo$12bo!,1,xs14_696xciic,
xp2_11108kc,2bo$obo$b2o2$4bo$3bobo$3b2o2$7b3o!,1,xs14_4a96zy2cia4,
xs21_g8o0e96y2cik8z121,8bo$7bobo$6bo2bo$7b2o5$2bo$obo$b2o3b2o$5bo2bo$6b3o2$8b3o$8bo2bo$9b2o!,1,xs14_x4a96z0ggz1243,
xs21_g8o0e96y2cik8z121,2bo$obo$b2o3b2o$5bo2bo$6b3o2$8b3o$8bo2bo$9b2o7$8b2o$7bo2bo$7bobo$8bo!,1,xs14_g84oy62596z011,
xp2_352xf,7b2o$6bobo$7bo4$2bo2b4o$obo$b2o!,1,xs14_2596zy1cia4,
xs21_0o4ox6952z17871,bo$2bo$3o3bo$5bobo$5bo2bo$6b2o3$10bo$8b5o$7bo5bo$8b5o$10bo!,1,xs14_4aaraa4,
xp2_69a4zy57,4bo$2bobo$3b2o3$5b3o6$2bo$bobo$o2bo$b2o!,1,xs14_wgy04a96z2543,
xp2_69a4zy57,bo$2bo$3o$5bo$5bo$5bo2$12b2o$11bo2bo$12bobo$13bo!,1,xs14_4a96zy32596,
xp2_69a4zy57,8b2o$7bo2bo$7bobo$8bo$2bo$obo$b2o3$3b3o!,1,xs14_69a4zy42596,
xp2_69a4zy57,2bo$obo7bo$b2o7bo$10bo2$2b2o$bo2bo$bobo$2bo!,1,xs14_2552zzzx4a4y54a4,
xp2_69a4zy57,2bo$3bo$b3o$6bo$6bo$6bo5$2bo$bobo$o2bo$b2o!,1,xs14_2596zy42596,
xp2_69a4zy57,2bo$obo$b2o3$3b3o3$11b2o$10bo2bo$11bobo$12bo!,1,xs14_0ggy14a96z1243,
xp2_69a4zy57,9b2o$8bo2bo$8bobo$9bo2$bo$2bo$3o$5bo$5bo$5bo!,1,xs14_0ggy04a96z3421,
xp2_696zzzf,17bo$15bobo$16b2o2$b2o$o2bo$b2o12b4o!,1,xs14_2552ya6996,
xp2_696zzzf,bo4bo$2bo3bo$3o3bo$6bo12$5bo$4bobo$4bobo$5bo!,1,xs14_2552y46996,
xp2_696zzzf,2bo$obo$b2o4$4o12b2o$15bo2bo$16b2o!,1,xs14_2552y4ciic,
xp2_696zzzf,7bo$6bobo$6bobo$7bo12$bo4bo$2bo3bo$3o3bo$6bo!,1,xs14_2552yaciic,
xp2_4a96zy2cia4zycss,11bo$10bobo$10bo2bo$11b2o3$5b2o$4bo2bo$5bobo$6bo$bo$2bo$3o3$o$o$o$o!,1,xs14_4a96zzy94aic,
xp2_0111zfyhcik8,b2o$o2bo21bo$bobo21bo$2bo22bo$25bo$20bo$18bobo$19b2o2$22b3o!,1,xs14_2596ye6952,
xp2_7zw64ea,6bo$4bobo$5b2o3$6bobo$6b3o$7bo$6b2o2$3o!,1,xs14_4a96zyb4a96,
xp2_2596y8s,2bo$obo$b2o3$3b3o13$2b2o$bo2bo$bobo$2bo!,1,xs14_2596y6cik8,
xp2_2596y8s,bo$2bo$3o$5bo$5bo13bo$5bo12bobo$18bo2bo$19b2o!,1,xs14_8k4oy66952zw1,
xp2_2596y8s,6bo$5bobo$4bo2bo$5b2o8$2bo$obo$b2o3$3b3o!,1,xs14_2596zzzw2596,
xp2_2596y8s,12bo$b2o10bo$o2bo7b3o$bobo12bo$2bo13bo$16bo!,1,xs14_2596y78kic,
xp2_2596y8s,bo$2bo$3o$5bo$5bo$5bo12$3b2o$2bo2bo$2bobo$3bo!,1,xs14_69a4zzzw2596,
xp2_2596y8s,2bo$obo$b2o3$3b3o12bo$17bobo$17bo2bo$18b2o!,1,xs14_2596y7cia4,
xp2_2596y8s,7bo$6bobo$5bo2bo$6b2o9$bo$2bo$3o$5bo$5bo$5bo!,1,xs14_2596y64aic,
xs13_4a96zyf2552,7bo$2bo3bobo$obo2bo2bo$b2o3b2o2$25b2o$24bo2bo$25b2o!,1,xs14_2552zyfciic,
xs13_4a96zyf2552,2bo$3bo$b3o3$2bo$bobo$o2bo$b2o2$20b2o$19bo2bo$20b2o!,1,xs14_6996zyh2552,
xs14_6952y02596,2bo$obo$b2o3$2b2o6b2o$bo2bo4bo2bo$bobo6bobo$2bo8bo!,1,xs14_3146zzw6996,
xp2_2596y2s,2bo$obo$b2o3$3b3o7$2b2o$bo2bo$bobo$2bo!,1,xs14_2596y0cik8,
xp2_2596y2s,bo$2bo$3o$5bo$5bo7bo$5bo6bobo$12bo2bo$13b2o!,1,xs14_8k4oy06952zw1,
xp2_2596y2s,6bo$5bobo$4bo2bo$5b2o2$2bo$obo$b2o3$3b3o!,1,xs14_69a4zxgzw3452,
xp2_2596y2s,bo$2bo$3o$5bo$5bo$5bo6$3b2o$2bo2bo$2bobo$3bo!,1,xs14_69a4zxggzw1243,
xp2_2596y2s,2bo$obo$b2o3$3b3o6bo$11bobo$11bo2bo$12b2o!,1,xs14_2596y1cia4,
xp2_2596y2s,7bo$6bobo$5bo2bo$6b2o3$bo$2bo$3o$5bo$5bo$5bo!,1,xs14_2596y04aic,
xp2_2596y2s,8bo$6bobo$b2o4b2o$o2bo$bobo$2bo6b3o!,1,xs14_g84oy02596z011,
xp2_ya4a96zzgw77z3,13bo$14bo$12b3o$17bo$17bo$17bo2$13b2o$13b2o$13b2o7$b2o$o2bo$obo$bo!,1,xs14_2596zzzyacik8,
