input,rle,cost,output
xs0_0,11bo$11bobo$11b2o$8bo$7bo$7b3o8$6bo$bo3bo$2bo2b3o$3o13$6bo$5b2o$5bobo!,5,xs9_252y2253,
xs0_0,14bo$14bobo$14b2o5$17bo$17bobo$17b2o3$2o17b2o$b2o16bobo$o18bo$5b2o$4bobo$6bo!,5,xs9_252zy4256,
xs0_0,2bo$3bo$b3o25bo$27b2o$28b2o5$3o$2bo$bo$14bo$14b2o$13bobo3$16b3o$16bo$17bo!,5,xs9_252yc4ac,
xs19_x4aaraa4zz4ac,6bo$5bobo$5bobo$4b2ob2o$bo3bobo$2bo2bobo$3o3bo$16b2o$15bobo$16bo!,1,xs9_252zy7253,
xs19_x4aaraa4zz4ac,7b2o$7bobo$8bo3$6bo$4bobo$5b2o2$3bo$b5o$o5bo$b5o$3bo!,1,xs9_252zy5253,
