input,rle,cost,output
xs0_0,o$b2o$2o7$9bo$8bo$8b3o$17b2o$4b3o9b2o$6bo11bo$5bo3$3bo$3b2o$2bobo!,5,xs16_6996zy4ciic,
xs0_0,19bobo$19b2o$20bo2$obo$b2o$bo11$9bo$9b2o$8bobo2$4b2o7bo$3bobo6b2o$5bo6bobo!,5,xs16_g88gx6996z1221,
xs0_0,12bo$10bobo$11b2o3$9bo$7b2o$8b2o$2b2o$bobo$3bo6b2o$9b2o$11bo9$2o$b2o$o!,5,xs16_y86996z0ggz3443,
xp2_6996zy3se,5bo$6bo$4b3o3$7bo$6bo2bo$6bo2bo$8bo3$b2o$o2bo$o2bo$b2o!,1,xs16_0ggy06996z3443,
xp2_6996zy3se,9b2o$bo6bo2bo$2bo5bo2bo$3o6b2o3$3bo$2bo2bo$2bo2bo$4bo!,1,xs16_6996zy46996,
xs15_0ggy66996z1243,7bo$2bo3bobo$obo2bo2bo$b2o3b2o10$10b2o$9bo2bo$9bo2bo$10b2o!,1,xs16_6996zzzy06996,
xs15_0ggy66996z1243,2bo$3bo$b3o3$2bo$bobo$o2bo$b2o10$5b2o$4bo2bo$4bo2bo$5b2o!,1,xs16_6996zy9ciic,
xp2_fzw6996,7bo$5bobo$6b2o4$5b4o2$b2o$o2bo$o2bo$b2o!,1,xs16_0ggy16996z3443,
xp2_6996y7u,3bo$bobo$2b2o4$b4o12$b2o$o2bo$o2bo$b2o!,1,xs16_0ggy76996z3443,
xp2_6996y7u,bo4bo$2bo3bo12b2o$3o3bo11bo2bo$6bo11bo2bo$19b2o!,1,xs16_o44oy66996z011,
xp2_6996y7u,2b2o$bo2bo$bo2bo$2b2o6$2bo$obo$b2o4$4o!,1,xs16_o44oy56996z011,
xp2_6996y7u,b2o$o2bo6bo4bo$o2bo7bo3bo$b2o6b3o3bo$15bo!,1,xs16_0ggy66996z3443,
xp2_gy26996z7,5bo4bo$6bo3bo$4b3o3bo$10bo$b2o$o2bo$o2bo$b2o!,1,xs16_6996y0ciic,
xp2_gy26996z7,2bo$obo$b2o4$4o7$5b2o$4bo2bo$4bo2bo$5b2o!,1,xs16_6996y1ciic,
xp2_gy26996z7,14b2o$13bo2bo$13bo2bo$14b2o$bo4bo$2bo3bo$3o3bo$6bo!,1,xs16_y36996z0ggz3443,
xs15_gy86996z1156,9bo3b2o$10bo2bo$8b3o3b3o$16bo$b2o$o2bo$o2bo$b2o!,1,xs16_6996zzy0ciic,
xp2_fzy262453,5b2o$5bobo$7bo$6bo$2bo3b2o$obo$b2o4$4o!,1,xs16_65123xciic,
xp2_fzy262453,6bo$4bobo$5b2o4$4b4o6$2o$bo$o$obo$b2o!,1,xs16_y36996z8oz346,
xp2_fzy262453,bo4bo$2bo3bo$3o3bo$6bo2$15b2o$12b2o2bo$12bob2o!,1,xs16_65123y0ciic,
xp2_6996zy3f,7bo$5bobo$6b2o4$5b4o4$b2o$o2bo$o2bo$b2o!,1,xs16_6996zy4ciic,
xp2_6996zy3f,bo4bo$2bo3bo$3o3bo$6bo2$11b2o$10bo2bo$10bo2bo$11b2o!,1,xs16_6996zwciic,
xs0_0,10b2o3bobo$10bobo2b2o$3b2o5bo5bo$2bobo$4bo9$5b3o$5bo$3o3bo$2bo$bo!,5,xs16_6996zy06996,
