input,rle,cost,output
xs0_0,5bo$5b2o$4bobo3bo$2o7b2o$b2o6bobo$o!,3,xs6_696,
xs0_0,bo$2bo$3o$11bo$5b2o3b2o$4b2o4bobo$6bo!,3,xs6_bd,
xs0_0,13bo$b2o8b2o$obo9b2o$2bo2$4b3o$4bo$5bo!,3,xs6_356,
xs0_0,o$b2o$2o5$12bo$12bobo$12b2o2$8b3o$8bo$9bo!,3,xs6_25a4,
xp2_352zs,5bo$5bo$5bo$2bo$obo$b2o2$4bo$3bobo$4b2o!,1,xs6_356,
xp2_333xcic,8b2o$7bo2bo$8b2o4$6b2o$2bo3b2o$obo3b2o$b2o!,1,xs6_696,
xs6_bd,bo$2bo$3o$5bob2o$5b2obo!,1,xs6_bd,
xp2_111wf,bo$2bo2b3o$3o2$4b2o$4b2o$4b2o!,1,xs6_25a4,
xp2_6413zzyfsy1e,9bo$7bobo$8b2o2$11b3o6$12b3o16$2o$o$2bo$b2o!,1,xs6_39c,
xs0_0,7bo$7bobo$2b3o2b2o$2bo$3bo5$2o$obo$o!,3,xs6_39c,
