input,rle,cost,output
xs0_0,11bo$2bo6b2o$3bo6b2o$b3o7$4bo$4bobo$4b2o2$b2o$2o$2bo2$6b2o$5b2o$7bo!,5,xs22_6996ya4aiczzz0g8gz01221,
xs21_g8o0e96y2cik8z121,7bo$2bo3bobo$obo2bo2bo$b2o3b2o7$5b2o$4bo2bo$5b3o2$7b3o$7bo2bo$8b2o!,1,xs22_06996zz8kkozx6aa4,
xs21_g8o0e96y2cik8z121,3bo$4bo$2b3o3$3bo$2bobo$bo2bo$2b2o7$b2o$o2bo$b3o2$3b3o$3bo2bo$4b2o!,1,xs22_0gg0sicy26996z343,
xs21_0o4ox6952z17871,13bo$12bobo$12bobo$11b2ob2o$12bobo$7bo4bobo$2bo3bobo4bo$obo2bo2bo$b2o3b2o!,1,xs22_6996z8kkmkk8zx1,
xs21_0o4ox6952z17871,2bo5bo$3bo3bobo$b3o3bobo$6b2ob2o$7bobo$2bo4bobo$bobo4bo$o2bo$b2o!,1,xs22_0o4oy16996z17871,
xp2_4a96zy2cia4zycss,8bo4bo$9bo3bo$7b3o3bo$13bo6$7bo$6bobo$6bo2bo$7b2o3$b2o$o2bo$bobo$2bo!,1,xs22_4a96zy2cia4zy8ciic,
xp2_4a96zy2cia4zycss,2bo$obo$b2o4$4o4$11bo$10bobo$9bo2bo$10b2o3$16b2o$15bo2bo$15bobo$16bo!,1,xs22_y86996zy2cik8z8k4ozw1,
xp2_4a96zy2cia4zycss,17bo$16bobo$16bo2bo$17b2o3$11b2o$10bo2bo$11bobo$12bo6$bo4bo$2bo3bo$3o3bo$6bo!,1,xs22_ye6996zy2cik8z8k4ozw1,
xp2_4a96zy2cia4zycss,2bo$bobo$o2bo$b2o3$7b2o$6bo2bo7bo$6bobo6bobo$7bo8b2o4$15b4o!,1,xs22_4a96zy2cia4zyeciic,
xp2_qdmz01y77zyae,10bo$8bobo$9b2o3$11b3o$5b3o11$b2obo$ob2obo$bob2o!,1,xs22_y9mdqz253y71z4a96,
xp2_qdmz01y77zyae,9b2obo$8bob2obo$9bob2o6$5bo$3bobo$4b2o3$6b3o$3o!,1,xs22_qdmz01y62596zy84ac,
xp2_4aaraa4zy977,bo4bo$2bo3bo$3o3bo$6bo6$2bo$bobo$bobo$2ob2o$bobo$bobo$2bo!,1,xs22_0ggx4aaraa4z3443,
xp2_4aaraa4zy977,2bo$obo$b2o4$4o2$12bo$10b5o$9bo5bo$10b5o$12bo!,1,xs22_4aaraa4zy56996,
xp2_4aaraa4zy977,10bo$9bobo$9bobo$8b2ob2o$9bobo$9bobo$10bo6$bo4bo$2bo3bo$3o3bo$6bo!,1,xs22_4aaraa4zyb6996,
xp2_4aaraa4zy977,3bo10bo$b5o6bobo$o5bo6b2o$b5o$3bo2$12b4o!,1,xs22_0ggy54aaraa4z3443,
xp2_4a96zy2cia4y01111,bo4bo$2bo3bo$3o3bo$6bo5$8bo$7bobo$7bo2bo$8b2o3$2b2o$bo2bo$2bobo$3bo!,1,xs22_4a96zy2cia4zxciic,
xp2_4a96zy2cia4y01111,9bo$8bobo$8bo2bo$9b2o3$3b2o$2bo2bo$3bobo$4bo5$bo4bo$2bo3bo$3o3bo$6bo!,1,xs22_0ggya69a4z3443y34aic,
xp2_4a96zy2cia4y01111,16bo$2bo11bobo$bobo11b2o$o2bo$b2o2$14b4o$7b2o$6bo2bo$6bobo$7bo!,1,xs22_g88gy34a96z1221y9cia4,
xp2_4a96zy2cia4y01111,2bo$3bo$b3o5bo$8bobo$7bo2bo$2o6b2o$2o$2o$14b2o$13bo2bo$13bobo$14bo!,1,xs22_4a96zxciiczzy16952,
xs21_y8178czy2cik8z8k4ozw1,13bo$12bobo$12bo2bo$13b2o3$7b2o$2bo3bo2bo$obo4bobo$b2o5bo3$2o$obo$2bo$2b2o!,1,xs22_4a96zy2cia4zy86996,
