input,rle,cost,output
xs0_0,8bo$6b2o$7b2o12$2o$b2o$o2$4b2o$3b2o$5bo!,3,xs21_695202596zw69a4,
xs0_0,10bo$8b2o$9b2o$o$b2o$2o4bobo$7b2o$7bo!,3,xs21_02552zy133xcia4z33,
xs0_0,6b2o3bo$6bobo2bobo$3o3bo4b2o$2bo$bo!,3,xs21_x2596zcia4zzy7cik8,
xs0_0,11bo$4bobo2b2o$5b2o3b2o$5bo7$4b2o$3bobo$5bo7$b2o$obo$2bo!,4,xs21_33wccy366zzzzy42lmzy511,
xs0_0,10bo$10bobo$10b2o8$o13bobo$b2o11b2o$2o13bo4$b3o$3bo$2bo!,4,xs21_0ggw33y1cia4z1221zy566,
xs0_0,6bo$4bobo$5b2o3$14bo$13bo$13b3o4$o$b2o$2o4$b3o$3bo$2bo6$22b3o$22bo$23bo!,5,xs21_x696z66y12552zzw256,
xs0_0,bo$2b2o$b2o4$14bo$12bobo$13b2o$18bobo$18b2o$10b2o7bo$11b2o$10bo11$2o$b2o$o!,5,xs21_y96996z0o4oz0ghz3421,
xs0_0,3bo$bobo$2b2o5$12bo$10b2o$11b2o$bo$b2o$obo$11bo$9b2o$10b2o4$7b3o$7bo$8bo!,5,xs21_66y76952z330o4ozy01,
xs0_0,11bo$12bo$10b3o5$7bo$8b2o5bo$7b2o4b2o$14b2o4$14b2o$15b2o$14bo3$3o$2bo$bo!,5,xs21_4a96zy32552zy8ciic,
xs0_0,30bo$10bo18bo$11bo17b3o$9b3o7$11bobo$12b2o$12bo3$12b2o$13b2o$12bo7$3o$2bo$bo!,5,xs21_ggy0696y0o4k8z11y7op,
xs0_0,18bo$18bobo$14bo3b2o$12b2o$7bo5b2o$8bo9bo$6b3o8b2o$17bobo5$2o$b2o$o!,5,xs21_696zzck8woozzwcic,
xs0_0,14bo$14bobo$14b2o3$9bo$2bo5bo$obo5b3o$b2o3$3b3o$3bo$4bo!,4,xs21_8kcx33zyo696zy9o4ozya1,
