input,rle,cost,output
xs0_0,13bo$11b2o$12b2o4$6bo$4b2o$5b2o3$b2o$obo$2bo!,3,xs22_2552w66zy44aa4zy0696,
xs0_0,bo$2bo$3o12$3bobo$4b2o$4bo2$8b3o$8bo$9bo!,3,xs22_x696zccwgw2552zx343,
xs0_0,9bo5bo$10b2o2bo$9b2o3b3o9$10b2o$11b2o$3o7bo$2bo$bo!,4,xs22_y066w33zzyeciczz66w33,
xs0_0,6bobo$6b2o$7bo5$5bo$o5b2o$b2o2b2o$2o2$5bo$4b2o$4bobo!,4,xs22_0gy6352z123yc66zy666zy533,
xs0_0,4bo$5b2o$4b2o3$7b3o$7bo$8bo$15bo$15bobo$2bo12b2o$obo$b2o!,4,xs22_252zw8kk8y18kk8zy3cic,
xs0_0,6bo$7bo$5b3o3b2o$10b2o$12bo7$2o$b2o$o8b3o$9bo$10bo!,4,xs22_w253y1ccz0gw4aicz343,
xs0_0,17bo$17bobo$17b2o$7bo$obo2b2o$b2o3b2o$bo18$11b2o$11bobo$11bo!,4,xs22_2552zzy233yb4aa4zyf696,
xs0_0,o6bo$b2o2b2o$2o4b2o10$18b3o$18bo$19bo3$11b3o$11bo$12bo!,4,xs22_y0696z696y12552zy133,
xs0_0,10bo$10bobo$10b2o2$14bo$13bo$13b3o4$16b2o$15b2o$17bo6$2o$b2o$o!,4,xs22_08kicx6952zy766zggz11,
xs0_0,2bo14bo$obo13bo$b2o13b3o5$4bobo$4b2o$5bo3$2b2o$bobo$3bo!,4,xs22_y1696z2552y12552zw33,
xs0_0,15bo$obo12bobo$b2o12b2o$bo3$13b3o$13bo$14bo6$14bo$13b2o$13bobo!,4,xs22_y0696z356y12552z0ggz011,
xs0_0,17bobo$17b2o$18bo7$6bo$2o3b2o$b2o2bobo$o5$10bo$9b2o$9bobo!,4,xs22_033zzyfo4ozyg1zccz33y2oo,
xs0_0,10bobo$11b2o$11bo2$11bo$12bo3bo$10b3o3bobo$16b2o6$14b2o$15b2o$14bo7$b2o$obo$2bo!,5,xs22_33w66zzzzy033w66zyb696,
xs0_0,11bo$12bo$10b3o3bobo$16b2o$17bo7$23bobo$23b2o$24bo6$10b3o$12bo$11bo2$bo$b2o$obo!,5,xs22_33y7ciczyd4aa4zy9696,
xs0_0,16bo$16bobo$16b2o$3bo$4b2o$3b2o$19bo$o17b2o$b2o2b2o11bobo$2o2bobo$6bo!,5,xs22_ooydoox696z0cczyh66,
xs0_0,5bobo$6b2o$6bo5$12b2o$11bobo4bo$13bo3b2o$17bobo4$b2o$obo$2bo$20b3o$20bo$21bo!,5,xs22_33zy6gzy42543y1ciczy88kc,
xs0_0,obo$b2o$bo2$22bo$22bobo$22b2o9$8bo11b2o$8b2o5bo4bobo$7bobo5b2o3bo$14bobo!,5,xs22_y5256zz8koya4a96zxca4,
xs0_0,22bo$20b2o$21b2o6$16bo$15bo$obo12b3o$b2o$bo$6b2o$5b2o6bo$7bo4b2o$12bobo!,5,xs22_y1696z2552y12552z066,
xs0_0,10bo$8b2o$9b2o5$5bo$4bo$4b3o3$b2o$obo$2bo2$18b3o$18bo$19bo4$8b2o$7b2o$9bo!,5,xs22_x33zy266w6996z2552,
xs0_0,14bo$12b2o$13b2o15$15bo$14b2o$14bobo2$3o$2bo$bo16bo$17b2o$11b3o3bobo$13bo$12bo!,5,xs22_4aa4x33zyk696zye4aa4,
xs0_0,8bobo$8b2o$9bo$5bo$3bobo$4b2o11$14bo$13b2o3b2o$13bobo2bobo$18bo$bo$b2o$obo!,5,xs22_g88m952y9ooz121y7cc,
xs0_0,obo$b2o$bo2$3bo$4bo$2b3o10bo$13b2o$6b3o5b2o$8bo$7bo5$3b2o$4b2o$3bo!,5,xs22_y033z8kk8y18kk8zy1cic,
xs0_0,16b2o$16bobo$16bo$2bo$2bobo$2b2o3b2o7bo$6bobo6b2o$8bo6bobo2$3o$2bo$bo!,5,xs22_033zy3cczwo4ozx1zyiccz66,
xs0_0,11bo$9b2o$10b2o7$obo10bo$b2o8b2o$bo10b2o4$11b3o$11bo$12bo9b2o$22bobo$22bo!,5,xs22_2552ya8kk8zy1ccy3cic,
xs0_0,2bo$obo$b2o7bobo$10b2o$11bo3$10b2o$9b2o10bo$11bo8bo$20b3o7$21b3o$21bo$22bo!,5,xs22_696zy666x8kk8zy7cic,
xs0_0,19bo$19bobo$19b2o3$6bo$7b2o$6b2o2$bo$2bo$3o3$3b2o$4b2o$3bo6$3b2o$2bobo$4bo!,5,xs22_ccy833y2cczx33y3cic,
