input,rle,cost,output
xs0_0,5b3o$5bo$2o4bo$b2o$o2$7b3o$7bo$8bo!,3,xs10_2530352,
xs0_0,7bo$3o3b2o$2bo3bobo$bo5$4b3o$4bo$5bo!,3,xs10_330356,
xs0_0,2o$b2o7b2o$o4bo4bobo$5b2o3bo5b2o$4bobo8b2o$17bo!,4,xs10_g8o652z01,
xs0_0,3b2o$4b2o2b3o$3bo4bo$9bo4$10b3o$10bo$11bo2$3o$2bo$bo!,4,xs10_25606a4,
xs0_0,b2o$2b2o$bo2$5b3o$3o2bo$2bo3bo$bo2$3b2o$2b2o$4bo!,4,xs10_32qr,
xs0_0,9b2o$8bobo$10bo2$bo10bo$b2o8b2o$obo8bobo5$3o$2bo$bo!,4,xs10_35ako,
xs0_0,b2o$obo$2bo15b2o$17b2o$12b3o4bo$14bo$13bo$3b3o$5bo$4bo!,4,xs10_33039c,
xs0_0,8b3o$10bo$9bo6b2o$16bobo$11b2o3bo$10b2o$12bo2$b2o$obo$2bo!,4,xs10_358gkc,
xs0_0,10b3o$6bo5bo4bo$6b2o3bo4b2o$3o2bobo8bobo$2bo$bo!,4,xs10_69ar,
xs0_0,bo6b2o$b2o5bobo$obo5bo3$3b3o11b2o$5bo10b2o$4bo13bo$8b2o$7b2o$9bo!,5,xs10_0brz32,
xs0_0,3o$2bo$bo11bo$6b3o3b2o$8bo3bobo$7bo4$5b2o$4b2o$6bo4$2o$b2o$o!,5,xs10_3215ac,
xs0_0,5b3o$5bo$2o4bo$b2o$o7bo$7b2o$7bobo3$19bo$18b2o$18bobo!,4,xs10_g0s252z11,
xs0_0,9bo$7b2o$8b2o3$10b2o$2o7b2o$b2o8bo$o!,3,xs10_25520oo,
xs0_0,o$b2o$2o6$14b2o$8b2o3b2o$9b2o4bo$8bo!,3,xs10_ggyg2552z11,
xs0_0,8bo$6b2o$o6b2o$b2o$2o$8b2o$9b2o$8bo!,3,xs10_696zy666,
xs0_0,6bobo$6b2o$7bo$11bo$10b2o$10bobo3$bo$2o$obo!,3,xs10_33zx653,
xs0_0,3bo$4b2o$3b2o5$2o4b2o$b2o2b2o$o6bo!,3,xs10_2552zy6oo,
xs0_0,6bo$4b2o$5b2o$o$b2o$2o4b2o$7b2o$6bo!,3,xs10_ggyc696z11,
xs0_0,2bo$3b2o$2b2o3$5b2o$2o4b2o$b2o2bo$o!,3,xs10_66x696,
xs0_0,5bobo$5b2o$6bo$obo$b2o$bo$5bobo$5b2o$6bo!,3,xs10_33z696,
xs0_0,obo$b2o$bo5$10bobo$10b2o$5bobo3bo$6b2o$6bo!,3,xs10_0696zzoo,
xs0_0,6bo$5b2o$5bobo$bo$b2o$obo2$7bo$6b2o$6bobo!,3,xs10_66y0696,
xs0_0,11bo$9b2o$10b2o$7bo$o4b2o$b2o3b2o$2o!,3,xs10_33zydcic,
xs0_0,3bo$3b2o$2bobo2bobo$7b2o$8bo6$bo$b2o$obo!,3,xs10_66y6696,
xs0_0,2bo$2o$b2o2$15b2o$3b2o9b2o$2b2o12bo$4bo!,3,xs10_3jz343,
xs0_0,obo$b2o7bobo$bo8b2o$5bobo3bo$6b2o$6bo!,3,xs10_696zy533,
xs0_0,8bo$6b2o$7b2o2$2o$b2o$o6b2o$8b2o$7bo!,3,xs10_0696zcc,
xs0_0,2bo5b2o$3b2o2b2o$2b2o5bo3$2o$b2o$o!,3,xs10_33zw8kk8,
xs0_0,obo$b2o$bo12$9bobo$10b2o$10bo$6bo$6b2o$5bobo!,3,xs10_696zys66,
xs0_0,12bo$13bo$11b3o6$7bo$obo3bo$b2o3b3o$bo!,3,xs10_0696zz33,
xs0_0,5bobo$bo3b2o$2bo3bo$3o$12bo$10b2o$11b2o!,3,xs10_2552zzye66,
xs0_0,20bo$14b3o2b2o$16bo2bobo$15bo10$bo$b2o$obo!,3,xs10_33zy2696,
xs0_0,9bo$8bo$8b3o2$obo$2o$bo3$2b2o$b2o$3bo!,3,xs10_2552y733,
xs0_0,3o$2bo5bo$bo5b2o$7bobo2$3b3o$5bo$4bo!,3,xs10_33xcic,
xs0_0,bo6bo$b2o5bobo$obo5b2o3$6bo$6b2o$5bobo!,3,xs10_0g0652z123,
xs0_0,3bo$4bo$2b3o4$2b2o$3b2o$2bo9$bo$b2o$obo!,3,xs10_33y4oi6,
xs0_0,4b3o3bo$6bo2b2o$5bo3bobo6$bo$b2o$obo!,3,xs10_2552zoo,
xs0_0,2bo$obo$b2o4$8bo$8bobo$8b2o3$7b2o$7bobo$7bo!,3,xs10_2552zy766,
xs0_0,bo5bo$2bo2b2o$3o3b2o2$17b3o$17bo$18bo!,3,xs10_252ye8kk8,
xs0_0,3bo$4bo$2b3o3$bo$2bo3b2o$3o3bobo$6bo!,3,xs10_33zzcic,
xs0_0,6bo$5b2o$5bobo$bo$b2o$obo$6b2o$6bobo$6bo!,3,xs10_33x653,
xs0_0,2bo$2o$b2o3$6bobo$b2o3b2o$2b2o3bo$bo!,3,xs10_y4696zzggz11,
xs0_0,4bo$4bobo$4b2o4$3b2o$2b2o$4bo5$2o$b2o$o!,3,xs10_2552zy533,
xs0_0,6bo$4bobo$5b2o3$7bo$7b2o$6bobo10$2o$b2o$o!,3,xs10_696zy133,
xs0_0,5bo4b2o$5b2o3bobo$4bobo3bo8$b2o$2o$2bo!,3,xs10_33y0cic,
xs0_0,bo$b2o9bo$obo2bobo4bobo$5b2o5b2o$6bo!,3,xs10_33zx4aa4,
xs0_0,bo$2bo$3o2$11bo$10bo$10b3o2$6bo$6b2o$5bobo!,3,xs10_253y66a4,
