input,rle,cost,output
xs0_0,b2o$obo$2bo$19b2o$13bobo2b2o$14b2o4bo$14bo!,3,xs25_69a4y166woozy2653zy533,
xs0_0,bo$o$3o4$2o$obo$o7$2b3o$4bo$3bo!,3,xs25_x696z6952gw2552zx343,
xs0_0,bo6bobo$b2o6b2o3b2o$obo6bo4bobo$14bo!,3,xs25_6a4yc33zzw66xgw2552zy2343,
xs0_0,2bo$obo$b2o6$8bo$9bo$7b3o$3b2o$4b2o6b2o$3bo7bobo$13bo!,4,xs25_696zzzy033zy36952zw33zy033,
xs0_0,o$b2o14bo$2o13b2o$16b2o6$7b2o4b2o$8b2o2b2o$7bo6bo!,4,xs25_y333w2596z33zys8kk8zyl33,
xs0_0,bo$2bo$3o2$11bo$9b2o$10b2o$16bo$15b2o$15bobo2$12bo$12b2o$11bobo!,4,xs25_ca52zy4o4oz066y21zy2oozw33,
xs0_0,obo$b2o$bo5bo$5b2o$6b2o8$bo4bo$2bo3bobo$3o3b2o!,4,xs25_0gy3696z3452w66y766zy033,
xs0_0,17bo$11bo4bo$12b2o2b3o$11b2o9$18b2o$17b2o$19bo7$2o$b2o$o!,4,xs25_2530ggy1gy0oozx3443x121y8oo,
xs0_0,17bo$16bo$16b3o9$b2o$obo$2bo2$9b2o3b3o$8bobo3bo$10bo4bo2$bo$b2o$obo!,5,xs25_y1696wggz25520ggx11y366zy0121,
xs0_0,2bo$obo$b2o14bo$17bobo$17b2o3$12b3o$14bo5bo$13bo5b2o$19bobo2$11b3o$11bo$12bo!,5,xs25_0ggy269a4y54aa4z1221y72552,
xs0_0,7bo$5bobo$6b2o$16bo$16bobo$16b2o12$2o$b2o4b2o$o5bobo$8bo4bo$12b2o$12bobo!,5,xs25_33gz2543yd33zx4a6y8g8gzyf11,
xs0_0,14bo$14bobo$14b2o9$14bo$12b2o$13b2o3$2bo$2b2o$bobo5$7bo$b2o3b2o$obo3bobo$2bo!,5,xs25_y933x8kozciiczxggyb33zx11,
xs0_0,19bobo$19b2o$20bo9$18bo$6bobo7b2o$7b2o8b2o$7bo$2o$b2o$o17b2o$18bobo$18bo!,5,xs25_02552x2552zzy133z66y0ok8,
xs0_0,bo$2bo$3o10$7bo5bo$8b2o2bo$7b2o3b3o4$b3o$3bo$2bo15b3o$18bo$19bo!,5,xs25_ooy52552xciiczzw4aic,
xs0_0,obo$b2o$bo3$8bo$9b2o$8b2o2$21b2o$11b2o8bobo$10bobo8bo$12bo10$26bo$25b2o$25bobo!,5,xs25_2596zzwo4oyng88gw2552zx1yp11,
