input,rle,cost,output
xs0_0,12bo$10b2o$7bo3b2o$o4b2o$b2o3b2o$2o!,3,xs33_033zca4y3o4ozy18kk8w1w8kk8zy6cic,
xs0_0,6bo$7b2o4bo$6b2o3b2o$2o10b2o$b2o$o!,3,xs33_y4696zx2552wgw2552z6a4y1343zw66,
xs0_0,o$b2o$2o3$2bo$3b2o$2b2o3$2b2o$bobo$3bo8$11b2o$10b2o$12bo!,4,xs33_x696xok8z2552y5cczy9g8gxciczy9121,
xs0_0,15bo$15bobo$15b2o5$obo$b2o4bo$bo4bo$6b3o$17b2o$17bobo$17bo3$5bo$5b2o$4bobo!,5,xs33_yc696zydgw2552zw66w8kicy2343zz252,
xs0_0,bo13bo$2bo12bobo$3o2bobo7b2o$5b2o$6bo6$bo$b2o$obo2$5b2o$5bobo$5bo!,5,xs33_8kk8y133y4g88gzxca52y911wcczy64aa4,
xs0_0,12bo$12bobo$12b2o11$15bo$15bobo$2bo12b2o$obo$b2o2$b2o$obo$2bo15bo$17b2o$17bobo!,5,xs33_x33w66zy5oozy8ci96zzw66wggz4acx11,
