input,rle,cost,output
xs0_0,17bo$2o13b2o$b2o3b2o8b2o$o4b2o$7bo!,3,xs19_33y1g84oz33woow11,
xs0_0,5bobo$5b2o$6bo2$bobo$2b2o$2bo7$bo$b2o$obo!,3,xs19_8kk8y5652zzzzy3oozcc,
xs0_0,10bobo$10b2o$11bo$6b2o$5bobo$7bo$2o$b2o$o!,3,xs19_o48gy66996z011x66,
xs0_0,o$obo$2o3$2b2o$b2o7bo$3bo6bobo$10b2o!,3,xs19_2552zy2696w4aic,
xs0_0,25bo$25bobo$25b2o$21b2o$21bobo$21bo10$b2o$obo$2bo!,3,xs19_yj4aicx2552z0ggz1221,
xs0_0,bo$2bo2bobo$3o2b2o$6bo2$bo$2bo$3o!,3,xs19_y5256zz8kozxca4zy166,
xs0_0,10bo$8b2o$4bo4b2o$5bo$3b3o2$bo$2bo$3o!,3,xs19_033wgy166zoo02543,
xs0_0,5bobo$5b2o7bo$o5bo6b2o$b2o10bobo$2o2$9bo$8b2o$8bobo!,4,xs19_0g2552x8kk8z3452,
xs0_0,3bo$3bobo$3b2o3$b2o$2o$2bo8$7b2o$6b2o$b3o4bo$3bo$2bo!,4,xs19_4aa4y5178czy2cic,
xs0_0,15bo$15bobo$15b2o2$5bo$3b2o$4b2o7$bo$2bo$3o$7bo$6b2o$6bobo!,4,xs19_ccx2552zzzy46a4y033,
xs0_0,13bo$14b2o$13b2o4$6bo$5b2o$5bobo$3o$2bo$bo6$11b3o$13bo$12bo!,4,xs19_y92552zo8gyc696zw32,
xs0_0,bo18bo$2bo15b2o$3o16b2o5$28bobo$28b2o$29bo3$30b2o$29b2o$31bo11$9bo$9b2o$8bobo!,5,xs19_ggy5o8g033z11y61y2cic,
xs0_0,5bobo$5b2o$6bo$10bobo$10b2o$5bo5bo$4b2o$4bobo7$bo$b2o$obo2$7b2o$6b2o$8bo!,5,xs19_2596zy966wcczy34a4,
xs0_0,o$b2o$2o5$7bo$7bobo$7b2o$16bobo$16b2o$17bo$8bo$2b3o2b2o$4bo2bobo$3bo!,5,xs19_033zzy82552z256zy266,
xs0_0,7bo$6bo$obo3b3o$b2o$bo6$21b2o$11bo9bobo$10b2o9bo$10bobo5$13b2o$13bobo$13bo!,5,xs19_6952zzzy0ggye4a4zx3443,
xs0_0,3bo$4b2o$3b2o7$9bo$7bobo$8b2o$19bo$19bobo$19b2o4$18b2o$b2o14b2o$obo16bo$2bo!,5,xs19_o4o02552z01y7c453,
xs0_0,13bo$12bo$12b3o4$2bo$obo$b2o$10b2o$10bobo$10bo$3b2o$2b2o$4bo3$13b3o$13bo$14bo!,5,xs19_y1653z0ggz3421zye8kk8,
xs0_0,14bobo$14b2o$15bo10$3b2o$2bobo$4bo$7b2o$7bobo8b2o$7bo10bobo$18bo$3o$2bo$bo!,5,xs19_yb4a96z4aa4zzzx653,
xs0_0,17bo$2bo13bo$obo13b3o$b2o14$2bo$2b2o$bobo3$10b2o$11b2o$10bo4b3o$15bo$16bo!,5,xs19_69a4y0gzy3343zy82552,
xs0_0,5bo$3bobo14bobo$4b2o14b2o$21bo3$5b3o$7bo$6bo5$b2o15bo$obo14b2o$2bo14bobo!,5,xs19_rrzy4ca4zx696,
xs0_0,13bobo$14b2o$14bo$2bo$obo$b2o$25bo$23b2o$24b2o2$11b2o$10b2o10b2o$12bo8b2o$23bo!,5,xs19_252zzx66xgya8kozy3343,
