input,rle,cost,output
xs0_0,obo$2o$bo2$5bobo$5b2o$6bo$10bo$9b2o$9bobo!,3,xs35_653zyfciczya4aa4y14aa4zyf696zye8kc,
xs0_0,o$b2o$2o7$15bo$13b2o$14b2o$19bo$18b2o$18bobo!,3,xs35_y7696zy22552y12552zwciicxcczg8oz01,
xs0_0,16bobo$16b2o$17bo6$6bo$bo4bobo$b2o3b2o$obo9$6b3o$6bo$7bo!,4,xs35_33y38kk8zy6ggy0253y233woozy51221zy6o4ozy71,
xs0_0,13bo$13bobo$13b2o5$3o$2bo5bo$bo6bobo$8b2o$3b3o$3bo$4bo!,4,xs35_y433zy1696y58kicz2552wgw2552zy1343,
xs0_0,23bo$22bo$22b3o8$20bo$18b2o$19b2o2$4bobo$5b2o$5bo$b2o$obo$2bo3$3bo$3b2o$2bobo!,5,xs35_696yjo4ozyn1y2g8gzyu11zy54a4zzxcicyi33zzygoo,
