input,rle,cost,output
xs0_0,13bobo$13b2o$14bo$3o$2bo5b3o$bo8bo$9bo!,3,xs31_4a96y1o4ozy08kk8w1w8kk8zy5cic,
xs0_0,o$b2o2bobo$2o3b2o$6bo7$13bo$12b2o$12bobo!,3,xs31_2552w2552z0cczccy66952zzyi66,
xs0_0,4bobo$5b2o$5bo3$9b2o$8b2o$10bo5$bo$b2o$obo!,3,xs31_8k4ow69a4x4akoy1g88gzw1yg11zy333,
xs0_0,3bo$4bo$2b3o11$2o$b2o$o4$8b2o3b3o$7bobo3bo$9bo4bo!,4,xs31_8e13y5ciczy44aa4y14aa4zy9696,
xs0_0,15bo$15bobo$15b2o4$15bo$obo12bobo$b2o12b2o$bo2$17b2o$16b2o$18bo!,4,xs31_6952yc33zyhcczy2oow696zyqcic,
xs0_0,16bo$16bobo$16b2o3$6bo$6bobo$6b2o4$obo$b2o$bo2$5b3o$5bo$6bo!,4,xs31_2596zy1o4oz8kk8w1w8kk8zy1cic,
xs0_0,11bo$11bobo$3bobo5b2o$3b2o$4bo3$2o$b2o$o4$10b3o$10bo$11bo!,4,xs31_4a96xciczw4aa4y14aa4zy3696,
xs0_0,14bo$15bo$13b3o9$20b2o$20bobo$4bo15bo$2bobo$3b2o6b3o$13bo$12bo$bo$b2o$obo!,5,xs31_ggw356o8gz123ckow11zyf64ko,
xs0_0,7bo4bo$8bo3bobo$6b3o3b2o6$11bo$10bo$10b3o6$b2o$obo$2bo!,4,xs31_w2596zy1cicz4aa4y14aa4zy1696,
