input,rle,cost,output
xs0_0,6b2o$3o2b2o$2bo4bo$bo5$9b2o$8b2o$10bo!,3,xs29_4a6y2696zy02552wgw2552zy5343,
xs0_0,5bo$5bobo$5b2o3$4bo$4bobo$4b2o2$b2o$2o$2bo!,3,xs29_w253zy7ooz6952y1ccy066zy54ac,
xs0_0,23bo$22bo$22b3o$8bobo$9b2o$9bo4$2bo$obo$b2o4$2b2o$3b2o$2bo!,4,xs29_0696zzy533zz0o4ozw1y14aa4zg84oz011,
xs0_0,29bobo$29b2o$30bo3$27b2o$26b2o$28bo8$2o$b2o6b3o$o10bo$10bo!,4,xs29_x653xca4z4aa4zxo4oyr8kk8zy01,
xs0_0,bo$2bo$3o9$9bo$8bo$8b3o$19b2o$19bobo$19bo$6b2o$7b2o$6bo!,4,xs29_y1696z2552wgw4a96woozy1343,
xs0_0,14bobo$14b2o$15bo8$11bo$9b2o$10b2o$15bo$14b2o$14bobo3$19b2o$3o16bobo$2bo16bo$bo!,5,xs29_256xcicz04aa4y14aa4zy2696,
