input,rle,cost,output
xs0_0,13b2o$7b2o3b2o$8b2o4bo$7bo9$3o$2bo$bo!,3,xs9_253033,
xs0_0,2b2o$bobo$3bo5b2o$9bobo$9bo$bo$b2o4bo$obo4b2o$6bobo!,4,xs9_25ako,
xs0_0,6b2o$5b2o$2o5bo$b2o$o$5bo$4b2o$4bobo5$12b2o$12bobo$12bo!,4,xs9_178ko,
xs0_0,8b2o$2bo4bobo$2b2o5bo4bo$bobo9b2o$13bobo3$11b2o$10bobo$12bo2$b2o$obo$2bo!,5,xs9_25a84c,
xs0_0,bo$b2o$obo2bobo$5b2o$6bo4$13bo$12b2o$12bobo!,3,xs9_33zy58ko,
xs0_0,2bo8b2o$3b2o5b2o$2b2o8bo3$2o$b2o$o!,3,xs9_253xcc,
xs0_0,obo$b2o$bo2$7bobo$7b2o$8bo2$7bo$7b2o$6bobo!,3,xs9_4aar,
xs0_0,7bo$o4b2o$b2o3b2o$2o11$5b2o$4b2o$6bo!,3,xs9_x256z33,
xs0_0,7b2o$2bo3b2o$2o6bo$b2o3$3b2o$2b2o$4bo!,3,xs9_33zx8ko,
xs0_0,o$b2o$2o10$6b2o$7b2o$6bo2$10b2o$9b2o$11bo!,3,xs9_x352z33,
xs0_0,o$b2o$2o8$2b2o4b2o$3b2o2b2o$2bo6bo!,3,xs9_33zy28ko,
xs0_0,6bo$7b2o$6b2o3$8b2o$9b2o$8bo5$2o$b2o$o!,3,xs9_33zx4a6,
xs0_0,3bo$4b2o$3b2o10$6bobo$6b2o$b2o4bo$obo$2bo!,3,xs9_256zzy7oo,
xs0_0,4b3o$4bo$5bo$3o$2bo$bo4b2o$5b2o$7bo!,3,xs9_253zy866,
xs0_0,12bo$11bo$11b3o2$3o$2bo$bo12b2o$13b2o$15bo!,3,xs9_253zy2oo,
xs0_0,6b3o$2bo3bo$2b2o3bo$bobo5$b2o$obo$2bo!,3,xs9_253y566,
xs0_0,bo5bo$b2o5b2o$obo4b2o3$10bo$10b2o$9bobo!,3,xs9_33zy8256,
xs0_0,6bo$7bo$bo3b3o$2bo$3o2$7b2o$7bobo$7bo!,3,xs9_253x33,
xs0_0,7bo$5b2o$6b2o3$7bo$6b2o$bo4bobo$b2o$obo!,3,xs9_253zxcc,
xs0_0,11bo$9bobo$10b2o4$12b2o$11b2o$13bo$b2o$obo$2bo5$22bo$21b2o$21bobo!,4,xs9_256zoo,
xs0_0,bo$b2o8bobo$obo3b2o3b2o$5b2o5bo$7bo4$3b2o$2b2o$4bo!,4,xs9_33x253,
xs0_0,14bo$12b2o$13b2o$2bobo$3b2o$3bo7bo$11bobo$11b2o$b2o$obo$2bo!,4,xs9_253zy966,
xs0_0,16bo$14b2o$15b2o2$4bo$3bo$3b3o$15b2o$15bobo$15bo$b2o$obo$2bo!,4,xs9_253zy333,
xs0_0,15bo$13b2o$14b2o12$6b2o$6bobo$bo4bo$b2o$obo5$3b3o$5bo$4bo!,4,xs9_253xoo,
xs0_0,7bo$6bo$6b3o$b2o$2b2o$bo5$3bobo$3b2o$4bo5$bo$2o$obo!,4,xs9_256zy9oo,
xs0_0,12bo$5bobo2b2o$5b2o4b2o$2o4bo$b2o$o7$4b2o$3b2o$5bo!,4,xs9_33w4a6,
xs0_0,16bo$15bo$5bo9b3o$6b2o$bo3b2o$b2o$obo7$5b2o$4b2o$6bo!,4,xs9_256zy166,
xs0_0,bo$2bo$3o2$6bo$5b2o$5bobo$12b3o$12bo$13bo4$9b2o$9bobo$9bo!,4,xs9_253y4oo,
xs0_0,5bobo$bo4b2o$2bo3bo$3o22$13b2o$12bobo$bo12bo$b2o14b2o$obo14bobo$17bo!,5,xs9_253y7oo,
xs0_0,9bobo$9b2o$10bo$b2o$obo$2bo3$6bobo$6b2o$7bo2$10bobo$10b2o$5b2o4bo$4bobo$6bo!,5,xs9_253y666,
xs0_0,11bo$12b2o3bo$11b2o3bo$16b3o4$bo16bo$2bo13b2o$3o14b2o18$28b3o$28bo$29bo!,5,xs9_253y3oo,
xs0_0,30bo$30bobo$30b2o5$20b2o$15bo4bobo$15b2o3bo$14bobo6$3o$2bo$bo8b3o$12bo$11bo!,5,xs9_0352zcc,
xs0_0,6bo$4bobo$5b2o4$obo$b2o$bo13$16bo$15b2o$11bo3bobo$11b2o$10bobo3$11bo$11b2o$10bobo!,5,xs9_y4652zggz11,
xs0_0,5bobo$6b2o$6bo4$2bo$obo$b2o6$8bo$8bobo10bo$8b2o10b2o$20bobo2$5b3o$7bo$6bo!,5,xs9_33zzx8ko,
xs0_0,18bo$16b2o$17b2o$7bo$obo3bo$b2o3b3o$bo$16bo$14b2o$15b2o14$b2o$2b2o$bo!,5,xs9_256y0oo,
xs0_0,7bo$8bo$6b3o4$b2o11b2o$obo12b2o$2bo11bo2$18b2o$17b2o$19bo6$27bo$26b2o$26bobo!,5,xs9_252zy38kc,
