input,rle,cost,output
xs0_0,o8bo$b2o7b2o$2o7b2o3$8b2o$7b2o$9bo!,3,xs24_g8o653wggz11wokc321,
xs0_0,9b2o$8b2o$10bo2$5b2o$6b2o$5bo5$2o$b2o$o!,3,xs24_y433y84aiczzggz1h8gye33zw11,
xs0_0,15b2o$14b2o$16bo2$4b2o$3b2o$5bo2$2o$b2o$o!,3,xs24_33yf33z66yf66zy1ooy5oo,
xs0_0,16bobo$16b2o$17bo$bo19bo$b2o17b2o$obo17bobo!,3,xs24_w696zz4aa4y14aa4zy1696,
xs0_0,6b2o$bo3b2o$b2o4bo$obo!,2,xs24_y1696z2552wgw2552zy1343,
xs0_0,bo$2bo$3o8bobo$11b2o$12bo3$11b2o$11bobo$11bo!,3,xs24_ooy333zzy24aa4y1o4ozyc1xcc,
xs0_0,4bo$4bobo$4b2o3$7b2o$6b2o$8bo$b2o$2o$2bo!,3,xs24_652w256y066wcczw696,
xs0_0,10bobo$6bo3b2o$4bobo4bo$5b2o11$b2o$obo$2bo!,3,xs24_w33z6996y14aa4zy1696,
xs0_0,bo$2b2o$b2o3$b2o$obo$2bo6$4b2o$5b2o$4bo!,3,xs24_2552zy2696zy5ciczx8kk8,
xs0_0,12bo$13b2o$12b2o6$bo$2bo$3o13b3o$16bo$17bo$3bo$3b2o$2bobo!,4,xs24_yj6996z66z033yd3jgzyh11,
xs0_0,16bobo$16b2o$17bo15$bo$b2o8b2o$obo8bobo$11bo2$3b3o$3bo$4bo!,4,xs24_cicy6696zyagg02552zy91221,
xs0_0,9bobo$2o7b2o$b2o7bo$o2$11bo$10b2o$10bobo6$b2o$obo$2bo!,4,xs24_cicy2696zy84a96zy4652,
xs0_0,obo$b2o$bo10$16b2o$11bo4bobo$11b2o3bo$10bobo8$7b2o$8b2o$7bo!,4,xs24_x6996zcicy22552zy233,
xs0_0,13bo$13bobo$13b2o2$2bo$obo$b2o4$2o$b2o$o2$18b2o$18bobo$18bo!,4,xs24_696y6gzccy6343zy2252zy033,
xs0_0,14bobo$15b2o4bo$15bo4bo$20b3o2$25bo$23b2o$24b2o3$bo11bo$2bo10b2o$3o9bobo!,5,xs24_g8o653z11woo033zzy5oo,
xs0_0,31bo$29b2o$30b2o9$22bo$22bobo$22b2o3$b2o10b2o6bo$obo9bobo5b2o$2bo11bo5bobo!,5,xs24_y9696zy46a4yc8kk8z0gz1256,
xs0_0,5bobo$5b2o$6bo4$3o$2bo$bo2$11bobo$11b2o$12bo2$2b2o$bobo$3bo$6b2o$6bobo$6bo!,5,xs24_y0696z696wgw2552zy0343,
xs0_0,6bo$5bo$5b3o3$9bo$8bo$8b3o5$10bo$10bobo$bo8b2o$b2o$obo2$9b2o$8b2o$10bo!,5,xs24_y633zyeggy4ciczggy3ooy21221z11,
xs0_0,14bo$12bobo$13b2o19bobo$34b2o$35bo11$2bobo$3b2o$3bo3$3o$2bo$bo7b2o$10b2o$9bo!,5,xs24_yhccy26996z066yd66z33,
xs0_0,17bo$16bo$16b3o2$21bo$20b2o$20bobo8$8bo$8b2o$7bobo$3o$2bo$bo19b3o$21bo$22bo!,5,xs24_33zy5gzooy2343y0ok8zyd4a6,
