input,rle,cost,output
xs0_0,10bo$9b2o$9bobo$5b2o$4bobo$6bo2$b2o$obo$2bo3$20b2o$20bobo$20bo!,4,xs16_g88m996z1221,
xs0_0,14b2o$8b3o3bobo$10bo3bo$9bo7$3o$2bo$bo2$17b2o$16b2o$18bo!,4,xs16_699606996,
xs0_0,bo7b2o$b2o5b2o$obo7bo3$7b3o$9bo$8bo2$10b3o$10bo$11bo!,4,xs16_c4o0e96z321,
xs0_0,2o7b2o$b2o7b2o$o8bo$14bo$4b3o6b2o$6bo6bobo4b3o$5bo14bo$21bo!,5,xs16_2ll2z1qq1,
xs0_0,8bo4b2o$8b2o3bobo$7bobo3bo$b2o$obo$2bo2$4b3o$6bo$5bo4$17b3o$17bo$18bo!,5,xs16_697079ic,
xs0_0,7b2o$8b2o$7bo$12b2o$11b2o$13bo3$14b3o$14bo$15bo3$bo15bo$b2o13b2o$obo13bobo!,5,xs16_rr0rr,
xs0_0,2o6b2o$b2o6b2o$o7bo2$12b2o$11b2o$13bo!,3,xs16_wooy633zzy2oozcc,
xs0_0,13bo$11b2o$2bo9b2o$3b2o$2b2o3$b2o$2o$2bo!,3,xs16_33zy0696zzybcic,
xs0_0,obo$2o$bo$7bo$6b2o$bo4bobo$2o$obo!,3,xs16_33w33z6996,
xs0_0,o$b2o$2o2$13bo$11b2o$12b2o3$14b2o$13b2o$15bo!,3,xs16_33y98kk8zy38kk8,
xs0_0,o19bo$b2o15b2o$2o17b2o3$17b2o$16b2o$18bo!,3,xs16_w2552zggy2696z11,
xs0_0,o$b2o$2o2$5bo$3b2o$4b2o6$14b2o$13b2o$15bo!,3,xs16_33y5oozybccwcc,
xs0_0,6b2o$2o3b2o$b2o4bo$o6$2b2o$3b2o$2bo!,3,xs16_2552zy2696xoo,
xs0_0,bobo$b2o$2bo3$bo$2o$obo8$bo$b2o$obo!,3,xs16_696zy02552z033,
xs0_0,9bo$7b2o$8b2o5$2bo$2o$b2o3$2b2o$3b2o$2bo!,3,xs16_x33y0ooz66zy166,
xs0_0,5bo$3b2o$4b2o2$o$b2o$2o12$12b2o$11b2o$13bo!,3,xs16_06996zzoozy0oo,
xs0_0,2bo$3b2o$2b2o3$b2o$2o$2bo!,2,xs16_ooy033zy1ooy033,
xs0_0,2bobo$3b2o$3bo3$3o$2bo$bo!,2,xs16_0ggydgj3zop1yd11,
xs0_0,5bo$5b2o$4bobo3b3o$2o8bo$b2o8bo$o!,3,xs16_66y3696zx4aa4,
xs0_0,6bo$7bo$5b3o4$8b2o$7b2o$3o6bo$2bo$bo!,3,xs16_2552zy2696y533,
xs0_0,2bo$2bobo$2b2o6$obo$2o$bo3$2b2o$b2o$3bo!,3,xs16_696zzy6oozy1cic,
xs0_0,o$b2o$2o3$4b2o$4bobo$4bo$14b3o$14bo$15bo!,3,xs16_33y78kk8zy5cic,
xs0_0,4bobo$4b2o$5bo2$3o$o$bo3$5b3o$7bo$6bo!,3,xs16_33y033yi66zzyc66,
xs0_0,bo$2b2o$b2o3$b2o$obo$2bo3$15bo$14b2o$14bobo!,3,xs16_ck8w33zy54a96,
