input,rle,cost,output
xs0_0,o$b2o$2o2$7b2o$6b2o$8bo2$3b2o$4b2o$3bo!,3,xs32_y4696zx2552wgw2552zooy2343zy133,
xs0_0,21bo$19b2o$20b2o7$2bo$obo$b2o3$3b2o$2bobo$4bo!,3,xs32_y4696zx2552wgw2552zw33y0343z0gz121,
xs0_0,o$b2o2bobo$2o3b2o$6bo6$b3o$bo$2bo!,3,xs32_253y94aczy9gg04acy08kk8zy8121y0cic,
xs0_0,3bo$4bo$2b3o8$bo$2bo13bo$3o11b2o$15b2o2$11b2o$10b2o$12bo!,4,xs32_xo48gx696zcik811y1gw2552zy6343,
xs0_0,18bobo$18b2o$19bo3$2bo5b3o$3b2o5bo$2b2o5bo4$b2o$obo$2bo!,4,xs32_y4696zx2552wgw2552zo44oy0343z011,
xs0_0,16bo$17b2o$16b2o3$8bo$6b2o7b3o$7b2o8bo$16bo2$b2o$obo$2bo!,4,xs32_6996zzy4ciczx4aa4y14aa4zy4696,
xs0_0,4bo$5b2o2bobo$4b2o3b2o$10bo15$bo8b3o$b2o7bo$obo8bo!,4,xs32_y1696z2552wgw2552y1ciiczy1343,
xs0_0,10bo$10bobo$10b2o3$6b2o$7b2o$6bo4$15bo$o13bo$b2o11b3o$2o!,4,xs32_ciicya696zy92552wgw2552zye343,
xs0_0,9bo$9bobo$9b2o$2o$b2o$o9b2o$10bobo$10bo2$19b3o$19bo$20bo!,4,xs32_w33y2696z66x2552wgw2552zy6343,
xs0_0,bo4bo$2bo3bobo$3o3b2o11$2b2o7b2o$bobo7bobo$3bo7bo!,4,xs32_rry2o4ozx8kk8w1w8kk8zy4cic,
xs0_0,18bo$12bo4bo$10b2o5b3o$11b2o3$17b2o$16b2o$18bo4$b2o$obo$2bo!,4,xs32_06996zy1cicz4aa4y14aa4zy1696,
xs0_0,12bo$12bobo$12b2o2$5bo$6b2o$5b2o2$9b3o2bobo$11bo2b2o$10bo4bo3$3o$2bo$bo!,5,xs32_033xcicz04aa4y14aa4z66y0696,
xs0_0,obo$b2o$bo$8bo$9b2o$8b2o3bobo$13b2o$14bo4$5bo$5b2o$4bobo8b2o$14b2o$16bo!,5,xs32_y1696z2552wgw2552zy1343y6oozzy5oo,
xs0_0,8bo$9bo$7b3o$bobo$2b2o$2bo3$2o$b2o5b2o$o6bobo$9bo2$27b2o$27bobo$27bo!,5,xs32_6996zy1696z2552wgw2552zy1343,
xs0_0,23bobo$23b2o$24bo12$22bo$21bo$21b3o4$22b2o$b2o19bobo$obo19bo$2bo2$31b2o$31bobo$31bo!,5,xs32_6996zy4696zx2552wgw2552zy4343,
xs0_0,bo$2b2o$b2o2$8bobo13bo$9b2o11b2o$9bo13b2o4$23b2o$23bobo$23bo7$3o$2bo$bo!,5,xs32_y1696z2552wgw2552y5oozy1343ymcc,
xs0_0,22bo$2bo18bo$obo18b3o$b2o5$27bo$25b2o$26b2o3$28b2o$27b2o$29bo10$8b3o$10bo$9bo!,5,xs32_252zy3cczzzy4696zx2552wgw2552zy4343,
