input,rle,cost,output
xs0_0,3o$2bo$bo3b3o$5bo$6bo4$4b2o$4bobo$4bo!,3,xs12_6960696,
xs0_0,5b3o$5bo5bo$bo4bo3b2o$b2o7bobo$obo!,3,xs12_256069a4,
xs0_0,16b2o$15bobo$17bo$20b2o$20bobo$20bo4$21b2o$20b2o$b2o19bo$obo$2bo!,4,xs12_6606996,
xs0_0,9b3o$9bo$10bo2$7b2o$8b2o$7bo5$5b3o$5bo$2o4bo$b2o$o!,4,xs12_256064ko,
xs0_0,10b2o$11b2o$10bo2$13b3o$13bo$14bo4$9b2o$8bobo$b2o7bo$obo$2bo!,4,xs12_3560696,
xs0_0,6bo$6b2o$5bobo3bo$2o8b2o$b2o7bobo$o8$23b2o$17b3o2b2o$17bo6bo$18bo!,5,xs12_rrz66,
xs0_0,6b3o$b2o3bo$obo4bo$2bo2$9b2o$8b2o$10bo3$6b2o$5b2o$7bo!,4,xs12_25606952,
xs0_0,14bo$14b2o3b2o$13bobo3bobo$19bo2$3o$2bo$bo$9b2o$9bobo5b2o$9bo7bobo$17bo!,5,xs12_3hu066,
xs0_0,11b2o$10b2o$6b2o4bo$5bobo$7bo3$10bo$9b2o$9bobo2$23bo$3o19b2o$2bo19bobo$bo!,5,xs12_3303pm,
xs0_0,3bo$3b2o$2bobo$7b3o$7bo$8bo6$3o$2bo17b2o$bo18bobo$20bo!,4,xs12_69iczx113,
xs0_0,12b2o$12bobo$12bo2$21b2o$2b2o6b3o8bobo$bobo8bo8bo$3bo7bo5$3o$2bo$bo!,5,xs12_02lmz643,
xs0_0,11b2o$12b2o3b2o$11bo4b2o$7b2o9bo$6bobo$bo6bo$b2o$obo2$8b2o$9b2o$8bo!,5,xs12_6960ui,
xs0_0,3o$2bo2b3o$bo3bo6b3o$6bo5bo$13bo2$2b2o$bobo$3bo!,4,xs12_66y333z33,
xs0_0,17bo$16b2o$11bobo2bobo$12b2o$12bo9$bo$b2o$obo!,3,xs12_ooy033zy8cc,
xs0_0,2bo$3b2o$2b2o3$b2o$2o$2bo3$10b2o$9b2o$11bo!,3,xs12_33x66z66,
xs0_0,16bobo$16b2o$17bo4$6bo$5b2o$obo2bobo$b2o$bo!,3,xs12_33y5cczy133,
xs0_0,2bo$2o$b2o11bo$12b2o$13b2o$2b2o$3b2o$2bo!,3,xs12_033zooy033,
xs0_0,7bobo$7b2o$8bo3$8bo$7b2o$7bobo6$bo$b2o$obo!,3,xs12_33x33zoo,
xs0_0,obo$b2o$bo$6bobo$7b2o$7bo2$10bo$10b2o$9bobo!,3,xs12_33w6996,
xs0_0,o$b2o4bo$2o3b2o$6b2o9$4b2o$3b2o$5bo!,3,xs12_33wggzy011zoo,
xs0_0,3bobo5bobo$4b2o5b2o$4bo7bo2$bo$b2o$obo!,3,xs12_696zw2552,
xs0_0,15bo$13b2o$14b2o4$2bo$3b2o$2b2o3$2o$b2o$o!,3,xs12_252ykoozzy6cc,
xs0_0,3bobo$4b2o$4bo3bobo$8b2o$9bo3$bo$b2o$obo!,3,xs12_33zccwoo,
xs0_0,4bobo13bobo$5b2o13b2o$5bo15bo$bo$b2o$obo!,3,xs12_2552y0696,
xs0_0,6bo$4b2o$5b2o2$b2o7b2o$2o7b2o$2bo8bo!,3,xs12_66y26996,
xs0_0,4bobo$5b2o$5bo$bo$b2o$obo3bo$5b2o$5bobo!,3,xs12_033zoox4a4,
xs0_0,o$b2o$2o3$2b2o$bobo$3bo!,2,xs12_2552zy2696,
xs0_0,o$b2o$2o6$16bo$16bobo$16b2o4$16b3o$16bo$17bo!,3,xs12_696zy02552,
xs0_0,11bobo$11b2o$12bo5$2bo$obo$b2o3$3b2o$4b2o$3bo!,3,xs12_178c0ca4,
xs0_0,2bo$2o$b2o8$6bobo3bo$7b2o3bobo$7bo4b2o!,3,xs12_033z33zzy0cc,
xs0_0,2bo$obo$b2o4$b2o$2b2o$bo4$5b3o$5bo$6bo!,3,xs12_33zzy966zy533,
xs0_0,o$b2o$2o8bo$11b2o$10b2o4$13b2o$13bobo$13bo!,3,xs12_033z66z66,
xs0_0,bo$o$3o3$7b2o$2b2o2b2o$b2o5bo$3bo!,3,xs12_rrzy466,
xs0_0,9b3o$11bo3bo$10bo3b2o$14bobo3$b2o$obo$2bo!,3,xs12_2552zx653,
xs0_0,10bo$11b2o$10b2o$obo$b2o$bo11bobo$13b2o$14bo!,3,xs12_256zy16952,
xs0_0,2bo$obo$b2o4$6b3o$b3o2bo$3bo3bo$2bo!,3,xs12_696zy5696,
xs0_0,b2o$obo$2bo$6b2o$5b2o$b2o4bo$obo$2bo!,3,xs12_033zzy633z33,
xs0_0,25bobo$25b2o$26bo3$27b3o$27bo$28bo10$b2o$obo$2bo!,3,xs12_ggyb33z1po,
xs0_0,2o$b2o10b2o$o11b2o$7b3o4bo$9bo$8bo!,3,xs12_x696zg8gz121,
xs0_0,2bobo$3b2o$3bo3$2o$b2o$o6$14b2o$13b2o$15bo!,3,xs12_g8g2552z121,
xs0_0,bo$2bo3bo$3o2bo$5b3o6$5b2o$5bobo$5bo!,3,xs12_0696zcic,
xs0_0,5b3o$bo3bo$b2o3bo$obo2$4b2o$5b2o$4bo!,3,xs12_33zy1ciic,
xs0_0,obo$b2o$bo3$5b2o$4bobo$6bo$10bo$9b2o$9bobo!,3,xs12_2552y92552,
xs0_0,bo4bo$2bo2bo$3o2b3o3$9bo$8b2o$8bobo!,3,xs12_2552y02552,
xs0_0,bobo$2b2o$2bo8bo$10bo$10b3o$b2o$obo$2bo!,3,xs12_33x6996,
xs0_0,5bo$5bobo$5b2o2$2bo$obo$b2o6bo$7b2o$8b2o$3b3o$3bo$4bo!,4,xs12_33y1ciic,
xs0_0,12bo$6bo3b2o$5b2o4b2o$5bobo$bo$b2o$obo7b2o$10bobo$10bo!,4,xs12_33zy06996,
xs0_0,9bo$9bobo$5bo3b2o$6bo$4b3o3$bo10b2o$b2o8b2o$obo10bo!,4,xs12_0gy3696z343,
xs0_0,2bo$3b2o$2b2o3$b2o7bo$2o6b2o$2bo6b2o6$2o$obo$o!,4,xs12_33y4cczya252,
xs0_0,19bo$2bo15bo$obo9bobo3b3o$b2o10b2o$13bo3$21bo$21bobo$21b2o!,4,xs12_y4696zzzg8gz121,
xs0_0,4bo$4bobo$4b2o2$o$b2o$2o8$13bobo$13b2o$14bo2$10b2o$9b2o$11bo!,4,xs12_33zzy366w33,
xs0_0,6bo$4bobo$5b2o3$bo$b2o18bobo$obo18b2o$22bo2$22bo$21b2o$21bobo!,4,xs12_33zy9rr,
xs0_0,bo$2bo$3o2$4bo$4bobo$4b2o5$7b2o4bo$8b2o3bobo$7bo5b2o!,4,xs12_33w66zy533,
xs0_0,28bo$27bo$27b3o3$19b2o$19bobo$14bo4bo$14b2o$3o10bobo$2bo$bo!,4,xs12_66yf33zx252,
xs0_0,9bo$8bo$8b3o$5bo$3bobo$4b2o17$21bo$b2o17b2o$obo17bobo$2bo!,4,xs12_6996zzy566,
xs0_0,11bo$9b2o$10b2o3$13bo$12b2o$12bobo10$2o15b2o$b2o13b2o$o17bo!,4,xs12_66y2rr,
