input,rle,cost,output
xs0_0,bo$b2o$obo2bobo$5b2o$6bo9bo$15b2o$15bobo!,3,xs36_y133y0cicz33y04aa4y14aa4zx66y2696,
xs0_0,bo$b2o$obo2$4b3o$4bo$5bo5$9b2o$8b2o$10bo!,3,xs36_y533zyfcicz66066y54aa4y14aa4zyf696,
xs0_0,19bo5bo$17b2o5bo$18b2o4b3o3$o$b2o$2o$4b3o$6bo$5bo!,4,xs36_y52552zykck8y1cczy9cczoozz069a4yegzyi343,
xs0_0,bo$2b2o$b2o8$obo$b2o3bo$bo3bo$5b3o10$3bo$3b2o$2bobo!,4,xs36_y14aa4y1696zcicy22552wgw2552zya343,
xs0_0,13bo$11bobo$12b2o$bo$2bo$3o$22bo$20b2o$21b2o4$22b2o$22bobo$22bo!,4,xs36_y8696y966w33zo4oy333x33z01zzyk66w33,
xs0_0,7bobo$8b2o4bo$8bo3b2o$13b2o10$8bo$8b2o$7bobo4$2o$b2o$o!,4,xs36_y1696y2cicz2552wgw2552y14aa4zy1343,
xs0_0,6bo$7b2o$6b2o8$21bo$11bo8bo$12bo7b3o$10b3o4$2o6b2o$b2o6b2o$o7bo!,5,xs36_33y0cicz04aa4y14aa4zy2696zxciic,
xs0_0,5bo$3bobo$4b2o2$15bo$2o12bo$b2o11b3o$o$9b2o$8b2o$10bo5b2o$15b2o$17bo!,5,xs36_xo48gx696zcik811y1gw2552zy0ooy0343,
