input,rle,cost,output
xs0_0,obo$2o$bo5$8bobo$8b2o$9bo$5bo$4b2o$4bobo!,3,xs42_y44a53zca6zycoozybggzy08kk8y21243x8kk8zy5cic,
xs0_0,2bo$obo5bobo$b2o5b2o$9bo3$3b3o$3bo$4bo4$12b2o$11b2o$13bo!,4,xs42_y1cicw33z4aa4y14aa4zy1696wg88gy54a96zy6121,
xs0_0,bo$2b2o$b2o2$5bo$5bobo$5b2o4$2bo$obo11b2o$b2o11bobo$14bo9$4b3o$6bo$5bo!,5,xs42_33y34aa4wciczy64aa4y14aa4zyb696zy4ccwoo,
xs0_0,2bo$obo$b2o5$7bobo$8b2o7bo$8bo7bo$16b3o$21b2o$20b2o$22bo11$16bo$15b2o$15bobo!,5,xs42_2552zzzw6acggzy1123y7o4ozya8kk8w1w8kk8zyfcic,
xs0_0,obo$b2o$bo5$16bo$16bobo$16b2o$12b2o$12bobo$12bo8$17b2o$17bobo$17bo!,4,xs42_y1696z2552y12552zy4ciczx4aa4y14aa4zy4696,
